x Distance [mm]	Height [cm]
 -1.840 	 3.625 
 -1.650 	 3.619 
 -1.465 	 3.621 
 -1.275 	 3.652 
 -1.085 	 3.706 
 -0.900 	 3.746 
 -0.710 	 3.770 
 -0.525 	 1.951 
 -0.335 	 1.322 
 -0.145 	 1.589 
 0.040 	 1.794 
 0.230 	 1.890 
 0.415 	 1.872 
 0.605 	 1.871 
 0.795 	 1.851 
 0.980 	 1.855 
 1.170 	 1.818 
 1.355 	 1.748 
 1.545 	 1.752 
 1.735 	 1.767 
 1.920 	 1.776 
 2.110 	 1.807 
 2.295 	 1.830 
 2.485 	 1.841 
 2.675 	 1.835 
 2.860 	 1.835 
 3.050 	 1.841 
 3.235 	 1.847 
 3.425 	 1.842 
 3.615 	 1.757 
 3.800 	 1.657 
 3.990 	 1.599 
 4.175 	 1.421 
 4.365 	 1.323 
 4.555 	 1.313 
 4.740 	 1.361 
 4.930 	 1.401 
 5.115 	 1.452 
 5.305 	 1.471 
 5.495 	 1.543 
 5.680 	 1.619 
 5.870 	 1.876 
 6.055 	 2.098 
 6.245 	 2.191 
 6.435 	 2.043 
 6.620 	 1.593 
 6.810 	 1.366 
 6.995 	 1.330 
 7.185 	 1.252 
 7.375 	 1.744 
 7.560 	 1.910 
 7.750 	 2.084 
 7.935 	 2.272 
 8.125 	 2.584 
 8.315 	 2.656 
 8.500 	 2.791 
 8.690 	 2.890 
 8.875 	 4.522 
 9.065 	 5.880 
 9.255 	 5.907 
 9.440 	 5.938 
 9.630 	 5.998 
 9.815 	 6.044 
 10.005 	 6.068 
 10.195 	 6.079 
 10.380 	 7.536 
 10.570 	 9.137 
 10.755 	 9.618 
 10.945 	 9.619 
 11.135 	 9.622 
 11.320 	 9.619 
 11.510 	 9.624 
 11.695 	 9.619 
 11.885 	 9.614 
 12.075 	 9.618 
 12.260 	 9.615 
 12.450 	 9.617 
 12.635 	 9.619 
 12.825 	 9.619 
 13.015 	 9.619 
 13.200 	 9.619 
 13.390 	 9.615 
 13.575 	 9.614 
 13.765 	 9.624 
 13.955 	 9.620 
 14.140 	 9.615 
 14.330 	 9.619 
 14.515 	 5.256 
 14.705 	 5.220 
 14.895 	 5.254 
 15.080 	 5.263 
 15.270 	 9.619 
 15.455 	 9.619 
 15.645 	 9.619 
 15.835 	 9.615 
 16.020 	 9.615 
 16.210 	 9.619 
 16.395 	 9.619 
 16.585 	 9.614 
 16.775 	 9.614 
 16.960 	 9.619 
 17.150 	 9.619 
 17.335 	 9.623 
 17.525 	 9.618 
 17.715 	 9.618 
 17.900 	 9.616 
 18.090 	 9.614 
 18.275 	 9.618 
 18.465 	 9.614 
 18.655 	 9.614 
 18.840 	 9.619 
 19.030 	 9.615 
 19.215 	 9.614 
 19.405 	 9.614 
 19.595 	 9.614 
 19.780 	 9.614 
 19.970 	 9.618 
 20.155 	 9.623 
 20.345 	 9.616 
 20.535 	 9.619 
 20.720 	 3.709 
 20.910 	 4.097 
 21.095 	 4.366 
 21.285 	 4.654 
 21.475 	 4.914 
 21.660 	 6.055 
 21.850 	 6.601 
 22.035 	 6.847 
 22.225 	 6.883 
 22.415 	 6.994 
 22.600 	 7.074 
 22.790 	 7.338 
 22.975 	 7.542 
 23.165 	 7.657 
 23.355 	 7.704 
 23.540 	 7.740 
 23.730 	 7.756 
 23.915 	 7.784 
 24.105 	 7.800 
 24.295 	 7.819 
 24.480 	 7.828 
 24.670 	 7.835 
 24.855 	 7.852 
 25.045 	 7.864 
 25.235 	 7.898 
 25.420 	 7.921 
 25.610 	 6.005 
 25.795 	 5.059 
 25.985 	 4.888 
 26.175 	 4.892 
 26.360 	 4.917 
 26.550 	 4.922 
 26.735 	 4.937 
 26.925 	 4.938 
 27.115 	 4.953 
 27.300 	 4.966 
 27.490 	 4.991 
 27.675 	 5.019 
 27.865 	 5.057 
 28.055 	 5.101 
 28.240 	 5.140 
 28.430 	 5.203 
 28.615 	 5.238 
 28.805 	 5.320 
 28.995 	 5.414 
 29.180 	 5.484 
 29.370 	 5.583 
 29.555 	 5.749 
 29.745 	 5.863 
 29.935 	 5.935 
 30.120 	 6.065 
 30.310 	 6.122 
 30.495 	 6.152 
 30.685 	 6.266 
 30.875 	 6.321 
 31.060 	 6.444 
 31.250 	 6.450 
 31.435 	 6.503 
 31.625 	 6.594 
 31.815 	 6.635 
 32.000 	 6.661 
 32.190 	 6.718 
 32.375 	 6.829 
 32.565 	 6.827 
 32.755 	 6.947 
 32.940 	 6.915 
 33.130 	 7.066 
 33.315 	 7.271 
 33.505 	 9.496 
 33.695 	 9.614 
 33.880 	 9.614 
 34.070 	 9.618 
 34.255 	 9.624 
 34.445 	 9.620 
 34.635 	 9.623 
 34.820 	 9.615 
 35.010 	 9.614 
 35.195 	 9.614 
 35.385 	 9.624 
 35.575 	 9.620 
 35.760 	 9.560 
 35.950 	 7.697 
 36.135 	 7.163 
 36.325 	 7.199 
 36.515 	 7.250 
 36.700 	 7.287 
 36.890 	 7.307 
 37.075 	 7.340 
 37.265 	 7.349 
 37.455 	 7.362 
 37.640 	 7.382 
 37.830 	 7.392 
 38.015 	 7.399 
 38.205 	 7.409 
 38.395 	 7.417 
 38.580 	 7.418 
 38.770 	 7.422 
 38.955 	 7.426 
 39.145 	 7.432 
 39.335 	 7.436 
 39.520 	 7.432 
 39.710 	 7.437 
 39.895 	 7.441 
 40.085 	 7.441 
 40.275 	 7.441 
 40.460 	 7.452 
 40.650 	 7.455 
 40.835 	 7.466 
 41.025 	 7.478 
 41.215 	 7.494 
 41.400 	 7.516 
 41.590 	 7.538 
 41.775 	 7.566 
 41.965 	 7.583 
 42.155 	 7.600 
 42.340 	 7.621 
 42.530 	 7.634 
 42.715 	 7.646 
