x Distance [mm]	Height [cm]
 42.905 	 7.677 
 43.095 	 7.685 
 43.280 	 7.706 
 43.470 	 7.715 
 43.655 	 7.726 
 43.845 	 7.734 
 44.035 	 7.745 
 44.220 	 7.749 
 44.410 	 7.761 
 44.595 	 7.773 
 44.785 	 7.776 
 44.975 	 7.788 
 45.160 	 7.804 
 45.350 	 7.812 
 45.535 	 7.822 
 45.725 	 7.818 
 45.915 	 7.826 
 46.100 	 7.823 
 46.290 	 7.818 
 46.475 	 7.822 
 46.665 	 7.823 
 46.855 	 7.827 
 47.040 	 7.832 
 47.230 	 7.827 
 47.415 	 7.822 
 47.605 	 7.827 
 47.795 	 7.827 
 47.980 	 7.827 
 48.170 	 7.822 
 48.355 	 7.827 
 48.545 	 7.827 
 48.735 	 7.831 
 48.920 	 7.827 
 49.110 	 7.827 
 49.295 	 7.827 
 49.485 	 7.831 
 49.675 	 7.828 
 49.860 	 7.832 
 50.050 	 7.831 
 50.235 	 7.822 
 50.425 	 7.831 
 50.615 	 7.827 
 50.800 	 7.832 
 50.990 	 7.832 
 51.175 	 7.832 
 51.365 	 7.832 
 51.555 	 7.827 
 51.740 	 7.827 
 51.930 	 7.827 
 52.115 	 7.828 
 52.305 	 7.837 
 52.495 	 7.827 
 52.680 	 7.827 
 52.870 	 7.827 
 53.055 	 7.822 
 53.245 	 7.822 
 53.435 	 7.822 
 53.620 	 7.807 
 53.810 	 7.803 
 53.995 	 7.807 
 54.185 	 7.802 
 54.375 	 7.797 
 54.560 	 7.793 
 54.750 	 7.787 
 54.935 	 7.783 
 55.125 	 7.789 
 55.315 	 7.798 
 55.500 	 7.792 
 55.690 	 7.788 
 55.875 	 7.792 
 56.065 	 7.783 
 56.255 	 7.778 
 56.440 	 7.773 
 56.630 	 7.768 
 56.815 	 7.763 
 57.005 	 7.756 
 57.195 	 7.744 
 57.380 	 7.743 
 57.570 	 7.739 
 57.755 	 7.743 
 57.945 	 7.739 
 58.135 	 7.743 
 58.320 	 7.739 
 58.510 	 7.739 
 58.695 	 7.739 
 58.885 	 7.739 
 59.075 	 7.731 
 59.260 	 7.734 
 59.450 	 7.725 
 59.635 	 7.725 
 59.825 	 7.725 
 60.015 	 7.726 
 60.200 	 7.734 
 60.390 	 7.729 
 60.575 	 7.725 
 60.765 	 7.729 
 60.955 	 7.725 
 61.140 	 7.729 
 61.330 	 7.725 
 61.515 	 7.725 
 61.705 	 7.725 
 61.895 	 7.725 
 62.080 	 7.725 
 62.270 	 7.726 
 62.455 	 7.726 
 62.645 	 7.726 
 62.835 	 7.727 
 63.020 	 7.727 
 63.210 	 7.727 
 63.395 	 7.727 
 63.585 	 7.728 
 63.775 	 7.728 
 63.960 	 7.728 
 64.150 	 7.729 
 64.335 	 7.729 
 64.525 	 7.729 
 64.715 	 7.729 
 64.900 	 7.730 
 65.090 	 7.730 
 65.275 	 7.730 
 65.465 	 7.731 
 65.655 	 7.731 
 65.840 	 7.731 
 66.030 	 7.731 
 66.215 	 7.732 
 66.405 	 7.732 
 66.595 	 7.732 
 66.780 	 7.733 
 66.970 	 7.733 
 67.155 	 7.733 
 67.345 	 7.733 
 67.535 	 7.734 
 67.720 	 7.734 
 67.910 	 7.734 
 68.095 	 7.723 
 68.285 	 7.724 
 68.475 	 7.734 
 68.660 	 7.737 
 68.850 	 7.744 
 69.035 	 7.743 
 69.225 	 7.740 
 69.415 	 7.742 
 69.600 	 7.734 
 69.790 	 7.744 
 69.975 	 7.744 
 70.165 	 7.749 
 70.355 	 7.749 
 70.540 	 7.754 
 70.730 	 7.754 
 70.915 	 7.754 
 71.105 	 7.754 
 71.295 	 7.752 
 71.480 	 7.744 
 71.670 	 7.746 
 71.855 	 7.753 
 72.045 	 7.745 
 72.235 	 7.749 
 72.420 	 7.749 
 72.610 	 7.749 
 72.795 	 7.744 
 72.985 	 7.744 
 73.175 	 7.739 
 73.360 	 7.739 
 73.550 	 7.739 
 73.735 	 7.740 
 73.925 	 7.745 
 74.115 	 7.748 
 74.300 	 7.743 
 74.490 	 7.739 
 74.675 	 7.740 
 74.865 	 7.745 
 75.055 	 7.748 
 75.240 	 7.745 
 75.430 	 7.748 
 75.615 	 7.744 
 75.805 	 7.744 
 75.995 	 7.744 
 76.180 	 7.744 
 76.370 	 7.744 
 76.555 	 7.745 
 76.745 	 7.749 
 76.935 	 7.745 
 77.120 	 7.749 
 77.310 	 7.744 
 77.495 	 7.743 
 77.685 	 7.737 
 77.875 	 7.728 
 78.060 	 7.723 
 78.250 	 7.719 
 78.435 	 7.715 
 78.625 	 7.714 
 78.815 	 7.709 
 79.000 	 7.706 
 79.190 	 7.711 
 79.375 	 7.715 
 79.565 	 7.716 
 79.755 	 7.723 
 79.940 	 7.721 
 80.130 	 7.722 
 80.315 	 7.715 
 80.505 	 7.715 
 80.695 	 7.715 
 80.880 	 7.714 
 81.070 	 7.711 
 81.255 	 7.716 
 81.445 	 7.721 
 81.635 	 7.728 
 81.820 	 7.726 
 82.010 	 7.734 
 82.195 	 7.734 
 82.385 	 7.736 
 82.575 	 7.740 
 82.760 	 7.744 
 82.950 	 7.745 
 83.135 	 7.751 
 83.325 	 7.759 
 83.515 	 7.759 
 83.700 	 7.762 
 83.890 	 7.767 
 84.075 	 7.765 
 84.265 	 7.766 
 84.455 	 7.763 
 84.640 	 7.773 
 84.830 	 7.774 
 85.015 	 7.782 
 85.205 	 7.780 
 85.395 	 7.785 
 85.580 	 7.793 
 85.770 	 7.794 
 85.955 	 7.803 
 86.145 	 7.802 
 86.335 	 7.799 
 86.520 	 7.801 
 86.710 	 7.793 
 86.895 	 7.793 
 87.085 	 7.794 
 87.275 	 7.808 
 87.460 	 7.808 
 87.650 	 7.805 
 87.835 	 7.797 
 88.025 	 7.792 
 88.215 	 7.790 
 88.400 	 7.797 
 88.590 	 7.796 
 88.775 	 7.803 
 88.965 	 7.804 
 89.155 	 7.808 
 89.340 	 7.808 
 89.530 	 7.808 
 89.715 	 7.806 
 89.905 	 7.801 
 90.095 	 7.797 
 90.280 	 7.792 
 90.470 	 7.786 
 90.655 	 7.770 
 90.845 	 7.771 
 91.035 	 7.761 
 91.220 	 7.753 
 91.410 	 7.751 
 91.595 	 7.755 
 91.785 	 7.759 
 91.975 	 7.759 
 92.160 	 7.760 
 92.350 	 7.762 
 92.535 	 7.754 
 92.725 	 7.754 
 92.915 	 7.756 
 93.100 	 7.765 
 93.290 	 7.771 
 93.475 	 7.780 
 93.665 	 7.783 
 93.855 	 7.785 
 94.040 	 7.786 
 94.230 	 7.778 
 94.415 	 7.780 
 94.605 	 7.783 
 94.795 	 7.783 
 94.980 	 7.785 
 95.170 	 7.792 
 95.355 	 7.788 
 95.545 	 7.790 
 95.735 	 7.790 
 95.920 	 7.774 
 96.110 	 7.778 
 96.295 	 7.778 
 96.485 	 7.778 
 96.675 	 7.778 
 96.860 	 7.776 
 97.050 	 7.769 
 97.235 	 7.767 
 97.425 	 7.764 
 97.615 	 7.768 
 97.800 	 7.765 
 97.990 	 7.756 
 98.175 	 7.746 
 98.365 	 7.731 
 98.555 	 7.729 
 98.740 	 7.725 
 98.930 	 7.730 
 99.115 	 7.734 
 99.305 	 7.732 
 99.495 	 7.738 
 99.680 	 7.730 
 99.870 	 7.734 
 100.055 	 7.726 
 100.245 	 7.734 
 100.435 	 7.728 
 100.620 	 7.725 
 100.810 	 7.724 
 100.995 	 7.721 
 101.185 	 7.728 
 101.375 	 7.734 
 101.560 	 7.734 
 101.750 	 7.729 
 101.935 	 7.729 
 102.125 	 7.729 
 102.315 	 7.729 
 102.500 	 7.725 
 102.690 	 7.725 
 102.875 	 7.729 
 103.065 	 7.730 
 103.255 	 7.735 
 103.440 	 7.738 
 103.630 	 7.735 
 103.815 	 7.743 
 104.005 	 7.739 
 104.195 	 7.741 
 104.380 	 7.744 
 104.570 	 7.744 
 104.755 	 7.743 
 104.945 	 7.754 
 105.135 	 7.755 
 105.320 	 7.759 
 105.510 	 7.762 
 105.695 	 7.759 
 105.885 	 7.763 
 106.075 	 7.767 
 106.260 	 7.764 
 106.450 	 7.768 
 106.635 	 7.765 
 106.825 	 7.764 
 107.015 	 7.759 
 107.200 	 7.746 
 107.390 	 7.743 
 107.575 	 7.730 
 107.765 	 7.729 
 107.955 	 7.729 
 108.140 	 7.720 
 108.330 	 7.720 
 108.515 	 7.720 
 108.705 	 7.720 
 108.895 	 7.724 
 109.080 	 7.725 
 109.270 	 7.731 
 109.455 	 7.733 
 109.645 	 7.730 
 109.835 	 7.746 
 110.020 	 7.744 
 110.210 	 7.744 
 110.395 	 7.749 
 110.585 	 7.749 
 110.775 	 7.754 
 110.960 	 7.754 
 111.150 	 7.761 
 111.335 	 7.754 
 111.525 	 7.765 
 111.715 	 7.769 
 111.900 	 7.769 
 112.090 	 7.773 
 112.275 	 7.769 
 112.465 	 7.770 
 112.655 	 7.773 
 112.840 	 7.770 
 113.030 	 7.773 
 113.215 	 7.765 
 113.405 	 7.774 
 113.595 	 7.778 
 113.780 	 7.783 
 113.970 	 7.779 
 114.155 	 7.778 
 114.345 	 7.778 
 114.535 	 7.778 
 114.720 	 7.783 
 114.910 	 7.783 
 115.095 	 7.783 
 115.285 	 7.783 
 115.475 	 7.783 
 115.660 	 7.783 
 115.850 	 7.778 
 116.035 	 7.774 
 116.225 	 7.778 
 116.415 	 7.778 
 116.600 	 7.776 
 116.790 	 7.769 
 116.975 	 7.773 
 117.165 	 7.768 
 117.355 	 7.764 
 117.540 	 7.759 
 117.730 	 7.759 
 117.915 	 7.758 
 118.105 	 7.754 
 118.295 	 7.759 
 118.480 	 7.754 
 118.670 	 7.758 
 118.855 	 7.759 
 119.045 	 7.759 
 119.235 	 7.759 
 119.420 	 7.755 
 119.610 	 7.754 
 119.795 	 7.754 
 119.985 	 7.754 
 120.175 	 7.749 
 120.360 	 7.749 
 120.550 	 7.749 
 120.735 	 7.749 
 120.925 	 7.754 
 121.115 	 7.754 
 121.300 	 7.759 
 121.490 	 7.763 
 121.675 	 7.760 
 121.865 	 7.764 
 122.055 	 7.764 
 122.240 	 7.759 
 122.430 	 7.759 
 122.615 	 7.759 
 122.805 	 7.759 
 122.995 	 7.759 
 123.180 	 7.759 
 123.370 	 7.759 
 123.555 	 7.757 
 123.745 	 7.753 
 123.935 	 7.749 
 124.120 	 7.749 
 124.310 	 7.749 
 124.495 	 7.746 
 124.685 	 7.737 
 124.875 	 7.733 
 125.060 	 7.727 
 125.250 	 7.721 
 125.435 	 7.724 
 125.625 	 7.714 
 125.815 	 7.708 
 126.000 	 7.702 
 126.190 	 7.703 
 126.375 	 7.692 
 126.565 	 7.686 
 126.755 	 7.686 
 126.940 	 7.686 
 127.130 	 7.687 
 127.315 	 7.689 
 127.505 	 7.682 
 127.695 	 7.672 
 127.880 	 7.662 
 128.070 	 7.656 
 128.255 	 7.655 
 128.445 	 7.645 
 128.635 	 7.641 
 128.820 	 7.637 
 129.010 	 7.634 
 129.195 	 7.627 
 129.385 	 7.627 
 129.575 	 7.626 
 129.760 	 7.622 
 129.950 	 7.621 
 130.135 	 7.617 
 130.325 	 7.617 
 130.515 	 7.604 
 130.700 	 7.598 
 130.890 	 7.601 
 131.075 	 7.606 
 131.265 	 7.603 
 131.455 	 7.604 
 131.640 	 7.605 
 131.830 	 7.596 
 132.015 	 7.594 
 132.205 	 7.596 
 132.395 	 7.593 
 132.580 	 7.591 
 132.770 	 7.591 
 132.955 	 7.594 
 133.145 	 7.586 
 133.335 	 7.585 
 133.520 	 7.585 
 133.710 	 7.576 
 133.895 	 7.573 
 134.085 	 7.571 
 134.275 	 7.568 
 134.460 	 7.565 
 134.650 	 7.557 
 134.835 	 7.550 
 135.025 	 7.544 
 135.215 	 7.542 
 135.400 	 7.538 
 135.590 	 7.532 
 135.775 	 7.528 
 135.965 	 7.523 
 136.155 	 7.522 
 136.340 	 7.528 
 136.530 	 7.526 
 136.715 	 7.526 
 136.905 	 7.521 
 137.095 	 7.524 
 137.280 	 7.524 
 137.470 	 7.521 
 137.655 	 7.517 
 137.845 	 7.526 
 138.035 	 7.530 
 138.220 	 7.534 
 138.410 	 7.536 
 138.595 	 7.539 
 138.785 	 7.537 
 138.975 	 7.536 
 139.160 	 7.539 
 139.350 	 7.539 
 139.535 	 7.539 
 139.725 	 7.539 
 139.915 	 7.543 
 140.100 	 7.549 
 140.290 	 7.547 
 140.475 	 7.542 
 140.665 	 7.539 
 140.855 	 7.541 
 141.040 	 7.544 
 141.230 	 7.544 
 141.415 	 7.542 
 141.605 	 7.535 
 141.795 	 7.527 
 141.980 	 7.524 
 142.170 	 7.528 
 142.355 	 7.532 
 142.545 	 7.531 
 142.735 	 7.534 
 142.920 	 7.530 
 143.110 	 7.522 
 143.295 	 7.522 
 143.485 	 7.524 
 143.675 	 7.524 
 143.860 	 7.524 
 144.050 	 7.524 
 144.235 	 7.520 
 144.425 	 7.517 
 144.615 	 7.522 
 144.800 	 7.520 
 144.990 	 7.515 
 145.175 	 7.515 
 145.365 	 7.517 
 145.555 	 7.520 
 145.740 	 7.517 
 145.930 	 7.517 
 146.115 	 7.516 
 146.305 	 7.514 
 146.495 	 7.518 
 146.680 	 7.512 
 146.870 	 7.512 
 147.055 	 7.517 
 147.245 	 7.518 
 147.435 	 7.513 
 147.620 	 7.506 
 147.810 	 7.500 
 147.995 	 7.502 
 148.185 	 7.503 
 148.375 	 7.502 
 148.560 	 7.507 
 148.750 	 7.510 
 148.935 	 7.510 
 149.125 	 7.506 
 149.315 	 7.497 
 149.500 	 7.490 
 149.690 	 7.490 
 149.875 	 7.493 
 150.065 	 7.490 
 150.255 	 7.486 
 150.440 	 7.483 
 150.630 	 7.483 
 150.815 	 7.480 
 151.005 	 7.478 
 151.195 	 7.473 
 151.380 	 7.471 
 151.570 	 7.473 
 151.755 	 7.478 
 151.945 	 7.478 
 152.135 	 7.476 
 152.320 	 7.473 
 152.510 	 7.466 
 152.695 	 7.461 
 152.885 	 7.459 
 153.075 	 7.456 
 153.260 	 7.456 
 153.450 	 7.456 
 153.635 	 7.456 
 153.825 	 7.454 
 154.015 	 7.444 
 154.200 	 7.434 
 154.390 	 7.434 
 154.575 	 7.435 
 154.765 	 7.432 
 154.955 	 7.429 
 155.140 	 7.427 
 155.330 	 7.424 
 155.515 	 7.419 
 155.705 	 7.417 
 155.895 	 7.412 
 156.080 	 7.412 
 156.270 	 7.412 
 156.455 	 7.407 
 156.645 	 7.401 
 156.835 	 7.393 
 157.020 	 7.390 
 157.210 	 7.390 
 157.395 	 7.395 
 157.585 	 7.397 
 157.775 	 7.395 
 157.960 	 7.393 
 158.150 	 7.394 
 158.335 	 7.393 
 158.525 	 7.390 
 158.715 	 7.391 
 158.900 	 7.388 
 159.090 	 7.386 
 159.275 	 7.383 
 159.465 	 7.381 
 159.655 	 7.373 
 159.840 	 7.371 
 160.030 	 7.368 
 160.215 	 7.361 
 160.405 	 7.356 
 160.595 	 7.351 
 160.780 	 7.351 
 160.970 	 7.354 
 161.155 	 7.353 
 161.345 	 7.347 
 161.535 	 7.335 
 161.720 	 7.327 
 161.910 	 7.322 
 162.095 	 7.319 
 162.285 	 7.318 
 162.475 	 7.310 
 162.660 	 7.305 
 162.850 	 7.307 
 163.035 	 7.310 
 163.225 	 7.308 
 163.415 	 7.306 
 163.600 	 7.308 
 163.790 	 7.294 
 163.975 	 7.290 
 164.165 	 7.288 
 164.355 	 7.290 
 164.540 	 7.300 
 164.730 	 7.306 
 164.915 	 7.310 
 165.105 	 7.317 
 165.295 	 7.309 
 165.480 	 7.298 
 165.670 	 7.293 
 165.855 	 7.288 
 166.045 	 7.285 
 166.235 	 7.286 
 166.420 	 7.295 
 166.610 	 7.294 
 166.795 	 7.289 
 166.985 	 7.285 
 167.175 	 7.288 
 167.360 	 7.281 
 167.550 	 7.282 
 167.735 	 7.275 
 167.925 	 7.275 
 168.115 	 7.275 
 168.300 	 7.274 
 168.490 	 7.269 
 168.675 	 7.266 
 168.865 	 7.268 
 169.055 	 7.271 
 169.240 	 7.271 
 169.430 	 7.273 
 169.615 	 7.275 
 169.805 	 7.278 
 169.995 	 7.282 
 170.180 	 7.285 
 170.370 	 7.291 
 170.555 	 7.296 
 170.745 	 7.294 
 170.935 	 7.300 
 171.120 	 7.300 
 171.310 	 7.301 
 171.495 	 7.305 
 171.685 	 7.311 
 171.875 	 7.325 
 172.060 	 7.332 
 172.250 	 7.334 
 172.435 	 7.334 
 172.625 	 7.336 
 172.815 	 7.339 
 173.000 	 7.341 
 173.190 	 7.346 
 173.375 	 7.349 
 173.565 	 7.349 
 173.755 	 7.354 
 173.940 	 7.365 
 174.130 	 7.372 
 174.315 	 7.380 
 174.505 	 7.387 
 174.695 	 7.387 
 174.880 	 7.386 
 175.070 	 7.385 
 175.255 	 7.385 
 175.445 	 7.388 
 175.635 	 7.390 
 175.820 	 7.395 
 176.010 	 7.400 
 176.195 	 7.402 
 176.385 	 7.405 
 176.575 	 7.407 
 176.760 	 7.407 
 176.950 	 7.410 
 177.135 	 7.412 
 177.325 	 7.415 
 177.515 	 7.420 
 177.700 	 7.425 
 177.890 	 7.424 
 178.075 	 7.425 
 178.265 	 7.429 
 178.455 	 7.435 
 178.640 	 7.433 
 178.830 	 7.432 
 179.015 	 7.437 
 179.205 	 7.441 
 179.395 	 7.444 
 179.580 	 7.449 
 179.770 	 7.458 
 179.955 	 7.464 
 180.145 	 7.464 
 180.335 	 7.466 
 180.520 	 7.471 
 180.710 	 7.473 
 180.895 	 7.478 
 181.085 	 7.486 
 181.275 	 7.493 
 181.460 	 7.495 
 181.650 	 7.498 
 181.835 	 7.497 
 182.025 	 7.499 
 182.215 	 7.505 
 182.400 	 7.508 
 182.590 	 7.510 
 182.775 	 7.512 
 182.965 	 7.513 
 183.155 	 7.514 
 183.340 	 7.520 
 183.530 	 7.523 
 183.715 	 7.524 
 183.905 	 7.527 
 184.095 	 7.532 
 184.280 	 7.536 
 184.470 	 7.535 
 184.655 	 7.532 
 184.845 	 7.537 
 185.035 	 7.539 
 185.220 	 7.542 
 185.410 	 7.547 
 185.595 	 7.549 
 185.785 	 7.552 
 185.975 	 7.557 
 186.160 	 7.562 
 186.350 	 7.560 
 186.535 	 7.564 
 186.725 	 7.565 
 186.915 	 7.558 
 187.100 	 7.558 
 187.290 	 7.566 
 187.475 	 7.571 
 187.665 	 7.573 
 187.855 	 7.579 
 188.040 	 7.580 
 188.230 	 7.578 
 188.415 	 7.578 
 188.605 	 7.578 
 188.795 	 7.579 
 188.980 	 7.581 
 189.170 	 7.582 
 189.355 	 7.586 
 189.545 	 7.596 
 189.735 	 7.598 
 189.920 	 7.596 
 190.110 	 7.593 
 190.295 	 7.596 
 190.485 	 7.593 
 190.675 	 7.598 
 190.860 	 7.604 
 191.050 	 7.607 
 191.235 	 7.610 
 191.425 	 7.612 
 191.615 	 7.617 
 191.800 	 7.620 
 191.990 	 7.617 
 192.175 	 7.617 
 192.365 	 7.620 
 192.555 	 7.627 
 192.740 	 7.627 
 192.930 	 7.627 
 193.115 	 7.629 
 193.305 	 7.633 
 193.495 	 7.638 
 193.680 	 7.641 
 193.870 	 7.637 
 194.055 	 7.639 
 194.245 	 7.644 
 194.435 	 7.646 
 194.620 	 7.649 
 194.810 	 7.651 
 194.995 	 7.653 
 195.185 	 7.661 
 195.375 	 7.661 
 195.560 	 7.657 
 195.750 	 7.654 
 195.935 	 7.661 
 196.125 	 7.661 
 196.315 	 7.661 
 196.500 	 7.663 
 196.690 	 7.667 
 196.875 	 7.671 
 197.065 	 7.671 
 197.255 	 7.671 
 197.440 	 7.673 
 197.630 	 7.676 
 197.815 	 7.674 
 198.005 	 7.672 
 198.195 	 7.677 
 198.380 	 7.680 
 198.570 	 7.676 
 198.755 	 7.676 
 198.945 	 7.678 
 199.135 	 7.678 
 199.320 	 7.671 
 199.510 	 7.669 
 199.695 	 7.668 
 199.885 	 7.676 
 200.075 	 7.677 
 200.260 	 7.681 
 200.450 	 7.682 
 200.635 	 7.684 
 200.825 	 7.672 
 201.015 	 7.668 
 201.200 	 7.673 
 201.390 	 7.676 
 201.575 	 7.678 
 201.765 	 7.678 
 201.955 	 7.673 
 202.140 	 7.673 
 202.330 	 7.671 
 202.515 	 7.668 
 202.705 	 7.669 
 202.895 	 7.668 
 203.080 	 7.666 
 203.270 	 7.668 
 203.455 	 7.669 
 203.645 	 7.666 
 203.835 	 7.666 
 204.020 	 7.666 
 204.210 	 7.666 
 204.395 	 7.668 
 204.585 	 7.669 
 204.775 	 7.666 
 204.960 	 7.663 
 205.150 	 7.666 
 205.335 	 7.671 
 205.525 	 7.668 
 205.715 	 7.669 
 205.900 	 7.668 
 206.090 	 7.669 
 206.275 	 7.661 
 206.465 	 7.656 
 206.655 	 7.653 
 206.840 	 7.651 
 207.030 	 7.655 
 207.215 	 7.660 
 207.405 	 7.664 
 207.595 	 7.659 
 207.780 	 7.659 
 207.970 	 7.654 
 208.155 	 7.655 
 208.345 	 7.653 
 208.535 	 7.645 
 208.720 	 7.649 
 208.910 	 7.648 
 209.095 	 7.654 
 209.285 	 7.656 
 209.475 	 7.656 
 209.660 	 7.653 
 209.850 	 7.648 
 210.035 	 7.641 
 210.225 	 7.637 
 210.415 	 7.633 
 210.600 	 7.625 
 210.790 	 7.619 
 210.975 	 7.606 
 211.165 	 7.586 
 211.355 	 7.553 
 211.540 	 7.525 
 211.730 	 7.511 
 211.915 	 7.503 
 212.105 	 7.496 
 212.295 	 7.489 
 212.480 	 7.482 
 212.670 	 7.480 
 212.855 	 7.480 
 213.045 	 7.480 
 213.235 	 7.477 
 213.420 	 7.476 
 213.610 	 7.472 
 213.795 	 7.467 
 213.985 	 7.462 
 214.175 	 7.464 
 214.360 	 7.459 
 214.550 	 7.466 
 214.735 	 7.467 
 214.925 	 7.466 
 215.115 	 7.466 
 215.300 	 7.466 
 215.490 	 7.466 
 215.675 	 7.462 
 215.865 	 7.461 
 216.055 	 7.464 
 216.240 	 7.466 
 216.430 	 7.469 
 216.615 	 7.463 
