x Distance [mm]	Height [cm]
 25.160 	 8.411 
 25.345 	 8.445 
 25.535 	 8.153 
 25.720 	 4.836 
 25.910 	 4.844 
 26.100 	 4.846 
 26.285 	 4.853 
 26.475 	 4.851 
 26.660 	 4.869 
 26.850 	 4.874 
 27.040 	 4.879 
 27.225 	 4.893 
 27.415 	 4.889 
 27.600 	 4.881 
 27.790 	 4.884 
 27.980 	 4.874 
 28.165 	 4.878 
 28.355 	 4.878 
 28.540 	 4.896 
 28.730 	 4.908 
 28.920 	 4.913 
 29.105 	 4.916 
 29.295 	 4.912 
 29.480 	 4.912 
 29.670 	 4.912 
 29.860 	 4.914 
 30.045 	 4.922 
 30.235 	 4.928 
 30.420 	 4.932 
 30.610 	 4.941 
 30.800 	 4.937 
 30.985 	 4.941 
 31.175 	 4.941 
 31.360 	 4.942 
 31.550 	 4.946 
 31.740 	 4.948 
 31.925 	 4.956 
 32.115 	 4.954 
 32.300 	 4.946 
 32.490 	 4.943 
 32.680 	 4.947 
 32.865 	 4.956 
 33.055 	 4.957 
 33.240 	 4.961 
 33.430 	 4.960 
 33.620 	 4.947 
 33.805 	 4.952 
 33.995 	 4.971 
 34.180 	 4.978 
 34.370 	 4.994 
 34.560 	 4.989 
 34.745 	 4.979 
 34.935 	 4.976 
 35.120 	 4.976 
 35.310 	 4.977 
 35.500 	 4.983 
 35.685 	 4.976 
 35.875 	 4.980 
 36.060 	 4.991 
 36.250 	 4.995 
 36.440 	 4.994 
 36.625 	 4.991 
 36.815 	 4.995 
 37.000 	 4.995 
 37.190 	 4.992 
 37.380 	 4.987 
 37.565 	 4.994 
 37.755 	 5.000 
 37.940 	 5.001 
 38.130 	 5.005 
 38.320 	 5.003 
 38.505 	 4.994 
 38.695 	 4.993 
 38.880 	 5.003 
 39.070 	 5.010 
 39.260 	 5.009 
 39.445 	 5.006 
 39.635 	 5.008 
 39.820 	 5.003 
 40.010 	 5.009 
 40.200 	 5.002 
 40.385 	 4.996 
 40.575 	 5.002 
 40.760 	 5.010 
 40.950 	 5.010 
 41.140 	 5.010 
 41.325 	 5.013 
 41.515 	 5.011 
 41.700 	 5.016 
 41.890 	 5.020 
 42.080 	 5.022 
 42.265 	 5.029 
 42.455 	 5.024 
 42.640 	 5.024 
 42.830 	 5.026 
 43.020 	 5.029 
 43.205 	 5.028 
 43.395 	 5.019 
 43.580 	 4.994 
 43.770 	 4.991 
 43.960 	 4.995 
 44.145 	 5.004 
 44.335 	 5.002 
 44.520 	 5.008 
 44.710 	 5.005 
 44.900 	 4.997 
 45.085 	 4.990 
 45.275 	 4.987 
 45.460 	 4.979 
 45.650 	 4.975 
 45.840 	 4.971 
 46.025 	 4.971 
 46.215 	 4.973 
 46.400 	 4.967 
 46.590 	 4.971 
 46.780 	 4.970 
 46.965 	 4.967 
 47.155 	 4.972 
 47.340 	 4.975 
 47.530 	 4.973 
 47.720 	 4.981 
 47.905 	 4.985 
 48.095 	 4.985 
 48.280 	 4.982 
 48.470 	 4.979 
 48.660 	 4.988 
 48.845 	 4.994 
 49.035 	 4.995 
 49.220 	 5.007 
 49.410 	 4.999 
 49.600 	 4.994 
 49.785 	 4.992 
 49.975 	 5.012 
 50.160 	 5.020 
 50.350 	 5.017 
 50.540 	 5.012 
 50.725 	 5.017 
 50.915 	 5.011 
 51.100 	 5.016 
 51.290 	 5.021 
 51.480 	 5.024 
 51.665 	 5.027 
 51.855 	 5.037 
 52.040 	 5.042 
 52.230 	 5.030 
 52.420 	 5.013 
 52.605 	 5.006 
 52.795 	 5.018 
 52.980 	 5.028 
 53.170 	 5.051 
 53.360 	 5.058 
 53.545 	 5.052 
 53.735 	 5.047 
 53.920 	 5.039 
 54.110 	 5.039 
 54.300 	 5.041 
 54.485 	 5.044 
 54.675 	 5.047 
 54.860 	 5.038 
 55.050 	 5.039 
 55.240 	 5.056 
 55.425 	 5.067 
 55.615 	 5.072 
 55.800 	 5.063 
 55.990 	 5.052 
 56.180 	 5.052 
 56.365 	 5.059 
 56.555 	 5.057 
 56.740 	 5.050 
 56.930 	 5.039 
 57.120 	 5.034 
 57.305 	 5.013 
 57.495 	 4.998 
 57.680 	 4.987 
 57.870 	 4.979 
 58.060 	 4.977 
 58.245 	 4.984 
 58.435 	 4.993 
 58.620 	 5.003 
 58.810 	 5.010 
 59.000 	 5.006 
 59.185 	 5.000 
 59.375 	 5.002 
 59.560 	 5.007 
 59.750 	 5.001 
 59.940 	 5.005 
 60.125 	 5.007 
 60.315 	 5.010 
 60.500 	 5.008 
 60.690 	 5.009 
 60.880 	 5.021 
 61.065 	 5.026 
 61.255 	 5.029 
 61.440 	 5.025 
 61.630 	 5.016 
 61.820 	 5.020 
 62.005 	 5.018 
 62.195 	 5.015 
 62.380 	 5.020 
 62.570 	 5.031 
 62.760 	 5.034 
 62.945 	 5.032 
 63.135 	 5.029 
 63.320 	 5.033 
 63.510 	 5.033 
 63.700 	 5.025 
 63.885 	 5.033 
 64.075 	 5.029 
 64.260 	 5.031 
 64.450 	 5.034 
 64.640 	 5.035 
 64.825 	 5.039 
 65.015 	 5.038 
 65.200 	 5.034 
 65.390 	 5.034 
 65.580 	 5.030 
 65.765 	 5.028 
 65.955 	 5.036 
 66.140 	 5.042 
 66.330 	 5.048 
 66.520 	 5.047 
 66.705 	 5.057 
 66.895 	 5.063 
 67.080 	 5.062 
 67.270 	 5.059 
 67.460 	 5.057 
 67.645 	 5.053 
 67.835 	 5.049 
 68.020 	 5.050 
 68.210 	 5.057 
 68.400 	 5.067 
 68.585 	 5.071 
 68.775 	 5.071 
 68.960 	 5.076 
 69.150 	 5.075 
 69.340 	 5.078 
 69.525 	 5.078 
 69.715 	 5.081 
 69.900 	 5.088 
 70.090 	 5.088 
 70.280 	 5.088 
 70.465 	 5.088 
 70.655 	 5.089 
 70.840 	 5.093 
 71.030 	 5.093 
 71.220 	 5.088 
 71.405 	 5.103 
 71.595 	 5.107 
 71.780 	 5.107 
 71.970 	 5.103 
 72.160 	 5.103 
 72.345 	 5.103 
 72.535 	 5.098 
 72.720 	 5.103 
 72.910 	 5.107 
 73.100 	 5.113 
 73.285 	 5.121 
 73.475 	 5.127 
 73.660 	 5.127 
 73.850 	 5.127 
 74.040 	 5.128 
 74.225 	 5.138 
 74.415 	 5.141 
 74.600 	 5.138 
 74.790 	 5.137 
 74.980 	 5.136 
 75.165 	 5.131 
 75.355 	 5.127 
 75.540 	 5.144 
 75.730 	 5.163 
 75.920 	 5.171 
 76.105 	 5.171 
 76.295 	 5.171 
 76.480 	 5.161 
 76.670 	 5.165 
 76.860 	 5.176 
 77.045 	 5.181 
 77.235 	 5.182 
 77.420 	 5.185 
 77.610 	 5.176 
 77.800 	 5.181 
 77.985 	 5.181 
 78.175 	 5.196 
 78.360 	 5.200 
 78.550 	 5.196 
 78.740 	 5.200 
 78.925 	 5.198 
 79.115 	 5.203 
 79.300 	 5.196 
 79.490 	 5.206 
 79.680 	 5.210 
 79.865 	 5.210 
 80.055 	 5.211 
 80.240 	 5.215 
 80.430 	 5.219 
 80.620 	 5.214 
 80.805 	 5.211 
 80.995 	 5.216 
 81.180 	 5.225 
 81.370 	 5.226 
 81.560 	 5.229 
 81.745 	 5.225 
 81.935 	 5.234 
 82.120 	 5.235 
 82.310 	 5.246 
 82.500 	 5.257 
 82.685 	 5.252 
 82.875 	 5.236 
 83.060 	 5.253 
 83.250 	 5.245 
 83.440 	 5.247 
 83.625 	 5.258 
 83.815 	 5.254 
 84.000 	 5.254 
 84.190 	 5.250 
 84.380 	 5.253 
 84.565 	 5.249 
 84.755 	 5.252 
 84.940 	 5.258 
 85.130 	 5.260 
 85.320 	 5.268 
 85.505 	 5.259 
 85.695 	 5.243 
 85.880 	 5.260 
 86.070 	 5.265 
 86.260 	 5.273 
 86.445 	 5.272 
 86.635 	 5.269 
 86.820 	 5.263 
 87.010 	 5.259 
 87.200 	 5.260 
 87.385 	 5.265 
 87.575 	 5.278 
 87.760 	 5.278 
 87.950 	 5.278 
 88.140 	 5.280 
 88.325 	 5.285 
 88.515 	 5.287 
 88.700 	 5.283 
 88.890 	 5.283 
 89.080 	 5.287 
 89.265 	 5.284 
 89.455 	 5.290 
 89.640 	 5.293 
 89.830 	 5.293 
 90.020 	 5.289 
 90.205 	 5.297 
 90.395 	 5.289 
 90.580 	 5.297 
 90.770 	 5.303 
 90.960 	 5.303 
 91.145 	 5.301 
 91.335 	 5.294 
 91.520 	 5.298 
 91.710 	 5.302 
 91.900 	 5.304 
 92.085 	 5.302 
 92.275 	 5.306 
 92.460 	 5.307 
 92.650 	 5.312 
 92.840 	 5.312 
 93.025 	 5.312 
 93.215 	 5.312 
 93.400 	 5.314 
 93.590 	 5.313 
 93.780 	 5.303 
 93.965 	 5.300 
 94.155 	 5.276 
 94.340 	 5.250 
 94.530 	 5.245 
 94.720 	 5.249 
 94.905 	 5.283 
 95.095 	 5.278 
 95.280 	 5.277 
 95.470 	 5.274 
 95.660 	 5.273 
 95.845 	 5.273 
 96.035 	 5.275 
 96.220 	 5.278 
 96.410 	 5.278 
 96.600 	 5.289 
 96.785 	 5.293 
 96.975 	 5.288 
 97.160 	 5.288 
 97.350 	 5.292 
 97.540 	 5.300 
 97.725 	 5.307 
 97.915 	 5.314 
 98.100 	 5.317 
 98.290 	 5.312 
 98.480 	 5.308 
 98.665 	 5.328 
 98.855 	 5.332 
 99.040 	 5.344 
 99.230 	 5.350 
 99.420 	 5.348 
 99.605 	 5.350 
 99.795 	 5.347 
 99.980 	 5.339 
 100.170 	 5.352 
 100.360 	 5.353 
 100.545 	 5.364 
 100.735 	 5.371 
 100.920 	 5.372 
 101.110 	 5.379 
 101.300 	 5.376 
 101.485 	 5.376 
 101.675 	 5.369 
 101.860 	 5.381 
 102.050 	 5.393 
 102.240 	 5.406 
 102.425 	 5.412 
 102.615 	 5.414 
 102.800 	 5.404 
 102.990 	 5.394 
 103.180 	 5.391 
 103.365 	 5.412 
 103.555 	 5.420 
 103.740 	 5.431 
 103.930 	 5.433 
 104.120 	 5.433 
 104.305 	 5.439 
 104.495 	 5.445 
 104.680 	 5.454 
 104.870 	 5.457 
 105.060 	 5.461 
 105.245 	 5.468 
 105.435 	 5.476 
 105.620 	 5.480 
 105.810 	 5.479 
 106.000 	 5.474 
 106.185 	 5.476 
 106.375 	 5.480 
 106.560 	 5.483 
 106.750 	 5.485 
 106.940 	 5.496 
 107.125 	 5.506 
 107.315 	 5.508 
 107.500 	 5.510 
 107.690 	 5.515 
 107.880 	 5.518 
 108.065 	 5.521 
 108.255 	 5.527 
 108.440 	 5.528 
 108.630 	 5.532 
 108.820 	 5.535 
 109.005 	 5.537 
 109.195 	 5.542 
 109.380 	 5.547 
 109.570 	 5.552 
 109.760 	 5.551 
 109.945 	 5.542 
 110.135 	 5.547 
 110.320 	 5.562 
 110.510 	 5.569 
 110.700 	 5.578 
 110.885 	 5.586 
 111.075 	 5.581 
 111.260 	 5.580 
 111.450 	 5.586 
 111.640 	 5.591 
 111.825 	 5.598 
 112.015 	 5.601 
 112.200 	 5.601 
 112.390 	 5.598 
 112.580 	 5.603 
 112.765 	 5.615 
 112.955 	 5.625 
 113.140 	 5.640 
 113.330 	 5.647 
 113.520 	 5.641 
 113.705 	 5.629 
 113.895 	 5.630 
 114.080 	 5.642 
 114.270 	 5.647 
 114.460 	 5.652 
 114.645 	 5.657 
 114.835 	 5.659 
 115.020 	 5.662 
 115.210 	 5.664 
 115.400 	 5.668 
 115.585 	 5.672 
 115.775 	 5.676 
 115.960 	 5.679 
 116.150 	 5.681 
 116.340 	 5.688 
 116.525 	 5.688 
 116.715 	 5.691 
 116.900 	 5.703 
 117.090 	 5.713 
 117.280 	 5.713 
 117.465 	 5.710 
 117.655 	 5.713 
 117.840 	 5.718 
 118.030 	 5.723 
 118.220 	 5.730 
 118.405 	 5.732 
 118.595 	 5.730 
 118.780 	 5.730 
 118.970 	 5.735 
 119.160 	 5.740 
 119.345 	 5.745 
 119.535 	 5.752 
 119.720 	 5.754 
 119.910 	 5.754 
 120.100 	 5.762 
 120.285 	 5.772 
 120.475 	 5.781 
 120.660 	 5.780 
 120.850 	 5.776 
 121.040 	 5.775 
 121.225 	 5.771 
 121.415 	 5.774 
 121.600 	 5.783 
 121.790 	 5.790 
 121.980 	 5.785 
 122.165 	 5.780 
 122.355 	 5.791 
 122.540 	 5.798 
 122.730 	 5.798 
 122.920 	 5.794 
 123.105 	 5.788 
 123.295 	 5.784 
 123.480 	 5.788 
 123.670 	 5.792 
 123.860 	 5.802 
 124.045 	 5.814 
 124.235 	 5.810 
 124.420 	 5.803 
 124.610 	 5.797 
 124.800 	 5.798 
 124.985 	 5.798 
 125.175 	 5.800 
 125.360 	 5.784 
 125.550 	 5.790 
 125.740 	 5.783 
 125.925 	 5.778 
 126.115 	 5.783 
 126.300 	 5.788 
 126.490 	 5.795 
 126.680 	 5.788 
 126.865 	 5.780 
 127.055 	 5.781 
 127.240 	 5.791 
 127.430 	 5.793 
 127.620 	 5.796 
 127.805 	 5.801 
 127.995 	 5.811 
 128.180 	 5.814 
 128.370 	 5.812 
 128.560 	 5.815 
 128.745 	 5.821 
 128.935 	 5.829 
 129.120 	 5.840 
 129.310 	 5.842 
 129.500 	 5.842 
 129.685 	 5.848 
 129.875 	 5.857 
 130.060 	 5.859 
 130.250 	 5.865 
 130.440 	 5.869 
 130.625 	 5.869 
 130.815 	 5.869 
 131.000 	 5.875 
 131.190 	 5.883 
 131.380 	 5.889 
 131.565 	 5.889 
 131.755 	 5.889 
 131.940 	 5.891 
 132.130 	 5.896 
 132.320 	 5.901 
 132.505 	 5.909 
 132.695 	 5.913 
 132.880 	 5.918 
 133.070 	 5.926 
 133.260 	 5.925 
 133.445 	 5.923 
 133.635 	 5.929 
 133.820 	 5.933 
 134.010 	 5.940 
 134.200 	 5.948 
 134.385 	 5.958 
 134.575 	 5.968 
 134.760 	 5.975 
 134.950 	 5.979 
 135.140 	 5.981 
 135.325 	 5.984 
 135.515 	 5.983 
 135.700 	 5.992 
 135.890 	 5.996 
 136.080 	 5.999 
 136.265 	 6.004 
 136.455 	 6.006 
 136.640 	 6.009 
 136.830 	 6.016 
 137.020 	 6.023 
 137.205 	 6.025 
 137.395 	 6.023 
 137.580 	 6.031 
 137.770 	 6.037 
 137.960 	 6.038 
 138.145 	 6.046 
 138.335 	 6.050 
 138.520 	 6.050 
 138.710 	 6.053 
 138.900 	 6.058 
 139.085 	 6.062 
 139.275 	 6.061 
 139.460 	 6.068 
 139.650 	 6.077 
 139.840 	 6.082 
 140.025 	 6.084 
 140.215 	 6.087 
 140.400 	 6.086 
 140.590 	 6.084 
 140.780 	 6.087 
 140.965 	 6.089 
 141.155 	 6.095 
 141.340 	 6.099 
 141.530 	 6.102 
 141.720 	 6.104 
 141.905 	 6.113 
 142.095 	 6.124 
 142.280 	 6.134 
 142.470 	 6.144 
 142.660 	 6.147 
 142.845 	 6.150 
 143.035 	 6.155 
 143.220 	 6.163 
 143.410 	 6.167 
 143.600 	 6.176 
 143.785 	 6.188 
 143.975 	 6.194 
 144.160 	 6.200 
 144.350 	 6.207 
 144.540 	 6.211 
 144.725 	 6.213 
 144.915 	 6.218 
 145.100 	 6.221 
 145.290 	 6.225 
 145.480 	 6.230 
 145.665 	 6.228 
 145.855 	 6.227 
 146.040 	 6.230 
 146.230 	 6.235 
 146.420 	 6.245 
 146.605 	 6.248 
 146.795 	 6.250 
 146.980 	 6.251 
 147.170 	 6.256 
 147.360 	 6.266 
 147.545 	 6.274 
 147.735 	 6.286 
 147.920 	 6.292 
 148.110 	 6.299 
 148.300 	 6.299 
 148.485 	 6.297 
 148.675 	 6.292 
 148.860 	 6.305 
 149.050 	 6.320 
 149.240 	 6.325 
 149.425 	 6.338 
 149.615 	 6.330 
 149.800 	 6.336 
 149.990 	 6.326 
 150.180 	 6.335 
 150.365 	 6.344 
 150.555 	 6.351 
 150.740 	 6.361 
 150.930 	 6.373 
 151.120 	 6.374 
 151.305 	 6.372 
 151.495 	 6.369 
 151.680 	 6.373 
 151.870 	 6.380 
 152.060 	 6.388 
 152.245 	 6.389 
 152.435 	 6.393 
 152.620 	 6.402 
 152.810 	 6.409 
 153.000 	 6.417 
 153.185 	 6.427 
 153.375 	 6.438 
 153.560 	 6.440 
 153.750 	 6.448 
 153.940 	 6.456 
 154.125 	 6.460 
 154.315 	 6.463 
 154.500 	 6.465 
 154.690 	 6.471 
 154.880 	 6.478 
 155.065 	 6.487 
 155.255 	 6.489 
 155.440 	 6.489 
 155.630 	 6.495 
 155.820 	 6.504 
 156.005 	 6.509 
 156.195 	 6.514 
 156.380 	 6.521 
 156.570 	 6.523 
 156.760 	 6.524 
 156.945 	 6.528 
 157.135 	 6.529 
 157.320 	 6.538 
 157.510 	 6.548 
 157.700 	 6.550 
 157.885 	 6.550 
 158.075 	 6.555 
 158.260 	 6.562 
 158.450 	 6.563 
 158.640 	 6.570 
 158.825 	 6.579 
 159.015 	 6.587 
 159.200 	 6.590 
 159.390 	 6.597 
 159.580 	 6.597 
 159.765 	 6.597 
 159.955 	 6.599 
 160.140 	 6.606 
 160.330 	 6.611 
 160.520 	 6.611 
 160.705 	 6.618 
 160.895 	 6.628 
 161.080 	 6.631 
 161.270 	 6.635 
 161.460 	 6.642 
 161.645 	 6.646 
 161.835 	 6.648 
 162.020 	 6.657 
 162.210 	 6.660 
 162.400 	 6.664 
 162.585 	 6.671 
 162.775 	 6.673 
 162.960 	 6.673 
 163.150 	 6.685 
 163.340 	 6.687 
 163.525 	 6.692 
 163.715 	 6.697 
 163.900 	 6.699 
 164.090 	 6.699 
 164.280 	 6.701 
 164.465 	 6.708 
 164.655 	 6.718 
 164.840 	 6.720 
 165.030 	 6.722 
 165.220 	 6.727 
 165.405 	 6.731 
 165.595 	 6.737 
 165.780 	 6.745 
 165.970 	 6.748 
 166.160 	 6.750 
 166.345 	 6.758 
 166.535 	 6.763 
 166.720 	 6.768 
 166.910 	 6.776 
 167.100 	 6.780 
 167.285 	 6.784 
 167.475 	 6.789 
 167.660 	 6.790 
 167.850 	 6.787 
 168.040 	 6.790 
 168.225 	 6.795 
 168.415 	 6.799 
 168.600 	 6.808 
 168.790 	 6.816 
 168.980 	 6.813 
 169.165 	 6.802 
 169.355 	 6.802 
 169.540 	 6.803 
 169.730 	 6.805 
 169.920 	 6.810 
 170.105 	 6.814 
 170.295 	 6.814 
 170.480 	 6.812 
 170.670 	 6.813 
 170.860 	 6.822 
 171.045 	 6.833 
 171.235 	 6.836 
 171.420 	 6.839 
 171.610 	 6.848 
 171.800 	 6.859 
 171.985 	 6.868 
 172.175 	 6.875 
 172.360 	 6.875 
 172.550 	 6.878 
 172.740 	 6.883 
 172.925 	 6.888 
 173.115 	 6.895 
 173.300 	 6.899 
 173.490 	 6.899 
 173.680 	 6.901 
 173.865 	 6.906 
 174.055 	 6.914 
 174.240 	 6.919 
 174.430 	 6.922 
 174.620 	 6.927 
 174.805 	 6.932 
 174.995 	 6.940 
 175.180 	 6.950 
 175.370 	 6.955 
 175.560 	 6.961 
 175.745 	 6.963 
 175.935 	 6.966 
 176.120 	 6.973 
 176.310 	 6.983 
 176.500 	 6.982 
 176.685 	 6.982 
 176.875 	 6.991 
 177.060 	 6.996 
 177.250 	 7.001 
 177.440 	 7.002 
 177.625 	 7.005 
 177.815 	 7.012 
 178.000 	 7.013 
 178.190 	 7.017 
 178.380 	 7.017 
 178.565 	 7.012 
 178.755 	 7.020 
 178.940 	 7.029 
 179.130 	 7.031 
 179.320 	 7.033 
 179.505 	 7.038 
 179.695 	 7.043 
 179.880 	 7.048 
 180.070 	 7.051 
 180.260 	 7.051 
 180.445 	 7.051 
 180.635 	 7.055 
 180.820 	 7.066 
 181.010 	 7.075 
 181.200 	 7.078 
 181.385 	 7.080 
 181.575 	 7.080 
 181.760 	 7.082 
 181.950 	 7.087 
 182.140 	 7.098 
 182.325 	 7.106 
 182.515 	 7.109 
 182.700 	 7.109 
 182.890 	 7.106 
 183.080 	 7.111 
 183.265 	 7.118 
 183.455 	 7.123 
 183.640 	 7.128 
 183.830 	 7.136 
 184.020 	 7.139 
 184.205 	 7.139 
 184.395 	 7.147 
 184.580 	 7.152 
 184.770 	 7.153 
 184.960 	 7.161 
 185.145 	 7.159 
 185.335 	 7.165 
 185.520 	 7.168 
 185.710 	 7.168 
 185.900 	 7.172 
 186.085 	 7.177 
 186.275 	 7.173 
 186.460 	 7.186 
 186.650 	 7.184 
 186.840 	 7.187 
 187.025 	 7.191 
 187.215 	 7.188 
 187.400 	 7.187 
 187.590 	 7.196 
 187.780 	 7.205 
 187.965 	 7.211 
 188.155 	 7.212 
 188.340 	 7.224 
 188.530 	 7.234 
 188.720 	 7.236 
 188.905 	 7.244 
 189.095 	 7.246 
 189.280 	 7.242 
 189.470 	 7.246 
 189.660 	 7.254 
 189.845 	 7.256 
 190.035 	 7.256 
 190.220 	 7.264 
 190.410 	 7.269 
 190.600 	 7.279 
 190.785 	 7.280 
 190.975 	 7.284 
 191.160 	 7.285 
 191.350 	 7.289 
 191.540 	 7.290 
 191.725 	 7.296 
 191.915 	 7.300 
 192.100 	 7.300 
 192.290 	 7.296 
 192.480 	 7.298 
 192.665 	 7.303 
 192.855 	 7.308 
 193.040 	 7.310 
 193.230 	 7.313 
 193.420 	 7.311 
 193.605 	 7.318 
 193.795 	 7.319 
 193.980 	 7.319 
 194.170 	 7.326 
 194.360 	 7.329 
 194.545 	 7.339 
 194.735 	 7.336 
 194.920 	 7.334 
 195.110 	 7.334 
 195.300 	 7.334 
 195.485 	 7.343 
 195.675 	 7.345 
 195.860 	 7.344 
 196.050 	 7.344 
 196.240 	 7.341 
 196.425 	 7.346 
 196.615 	 7.345 
 196.800 	 7.337 
 196.990 	 7.334 
 197.180 	 7.343 
 197.365 	 7.339 
 197.555 	 7.336 
 197.740 	 7.334 
 197.930 	 7.334 
 198.120 	 7.344 
 198.305 	 7.349 
 198.495 	 7.345 
 198.680 	 7.344 
 198.870 	 7.344 
 199.060 	 7.339 
 199.245 	 7.349 
 199.435 	 7.357 
 199.620 	 7.358 
 199.810 	 7.351 
 200.000 	 7.351 
 200.185 	 7.354 
 200.375 	 7.350 
 200.560 	 7.357 
 200.750 	 7.358 
 200.940 	 7.358 
 201.125 	 7.358 
 201.315 	 7.355 
 201.500 	 7.354 
 201.690 	 7.357 
 201.880 	 7.358 
 202.065 	 7.358 
 202.255 	 7.355 
 202.440 	 7.361 
 202.630 	 7.363 
 202.820 	 7.353 
 203.005 	 7.345 
 203.195 	 7.344 
 203.380 	 7.347 
 203.570 	 7.352 
 203.760 	 7.354 
 203.945 	 7.350 
 204.135 	 7.352 
 204.320 	 7.350 
 204.510 	 7.345 
 204.700 	 7.347 
 204.885 	 7.352 
 205.075 	 7.358 
 205.260 	 7.354 
 205.450 	 7.354 
 205.640 	 7.343 
 205.825 	 7.343 
 206.015 	 7.348 
 206.200 	 7.352 
 206.390 	 7.358 
 206.580 	 7.363 
 206.765 	 7.358 
 206.955 	 7.358 
 207.140 	 7.358 
 207.330 	 7.355 
 207.520 	 7.354 
 207.705 	 7.358 
 207.895 	 7.358 
 208.080 	 7.354 
 208.270 	 7.361 
 208.460 	 7.363 
 208.645 	 7.359 
 208.835 	 7.366 
 209.020 	 7.364 
 209.210 	 7.359 
 209.400 	 7.368 
 209.585 	 7.364 
 209.775 	 7.359 
 209.960 	 7.358 
 210.150 	 7.362 
 210.340 	 7.349 
 210.525 	 7.349 
 210.715 	 7.353 
 210.900 	 7.350 
 211.090 	 7.358 
 211.280 	 7.346 
 211.465 	 7.344 
 211.655 	 7.340 
 211.840 	 7.344 
 212.030 	 7.344 
 212.220 	 7.348 
 212.405 	 7.349 
 212.595 	 7.345 
 212.780 	 7.344 
 212.970 	 7.344 
 213.160 	 7.339 
 213.345 	 7.331 
 213.535 	 7.334 
 213.720 	 7.322 
 213.910 	 7.315 
 214.100 	 7.314 
 214.285 	 7.310 
 214.475 	 7.313 
 214.660 	 7.314 
 214.850 	 7.319 
 215.040 	 7.315 
 215.225 	 7.319 
 215.415 	 7.319 
 215.600 	 7.319 
 215.790 	 7.323 
 215.980 	 7.324 
 216.165 	 7.328 
 216.355 	 7.339 
 216.540 	 7.343 
 216.730 	 7.357 
