x Distance [mm]	Height [cm]
 -1.725 	 3.629 
 -1.540 	 3.637 
 -1.350 	 3.663 
 -1.160 	 3.697 
 -0.975 	 3.733 
 -0.785 	 3.781 
 -0.600 	 3.801 
 -0.410 	 1.774 
 -0.220 	 1.678 
 -0.035 	 1.880 
 0.155 	 1.896 
 0.340 	 1.904 
 0.530 	 1.904 
 0.720 	 1.904 
 0.905 	 1.874 
 1.095 	 1.870 
 1.280 	 1.829 
 1.470 	 1.774 
 1.660 	 1.786 
 1.845 	 1.808 
 2.035 	 1.836 
 2.220 	 1.846 
 2.410 	 1.846 
 2.600 	 1.825 
 2.785 	 1.846 
 2.975 	 1.834 
 3.160 	 1.845 
 3.350 	 1.817 
 3.540 	 1.773 
 3.725 	 1.568 
 3.915 	 1.527 
 4.100 	 1.348 
 4.290 	 1.352 
 4.480 	 1.421 
 4.665 	 1.446 
 4.855 	 1.550 
 5.040 	 1.624 
 5.230 	 1.687 
 5.420 	 1.744 
 5.605 	 1.814 
 5.795 	 2.033 
 5.980 	 2.329 
 6.170 	 2.418 
 6.360 	 2.149 
 6.545 	 2.161 
 6.735 	 1.730 
 6.920 	 1.800 
 7.110 	 1.723 
 7.300 	 2.206 
 7.485 	 2.417 
 7.675 	 2.562 
 7.860 	 2.517 
 8.050 	 2.505 
 8.240 	 2.358 
 8.425 	 2.215 
 8.615 	 5.769 
 8.800 	 5.838 
 8.990 	 5.871 
 9.180 	 5.899 
 9.365 	 5.922 
 9.555 	 5.981 
 9.740 	 6.026 
 9.930 	 6.221 
 10.120 	 7.827 
 10.305 	 9.581 
 10.495 	 9.619 
 10.680 	 9.619 
 10.870 	 9.614 
 11.060 	 9.614 
 11.245 	 9.614 
 11.435 	 9.619 
 11.620 	 9.619 
 11.810 	 9.619 
 12.000 	 9.619 
 12.185 	 9.619 
 12.375 	 9.616 
 12.560 	 9.624 
 12.750 	 9.618 
 12.940 	 9.614 
 13.125 	 9.619 
 13.315 	 9.619 
 13.500 	 9.619 
 13.690 	 9.619 
 13.880 	 9.619 
 14.065 	 9.619 
 14.255 	 9.614 
 14.440 	 9.614 
 14.630 	 9.614 
 14.820 	 9.615 
 15.005 	 9.619 
 15.195 	 9.619 
 15.380 	 9.614 
 15.570 	 9.615 
 15.760 	 9.618 
 15.945 	 9.615 
 16.135 	 9.619 
 16.320 	 9.623 
 16.510 	 9.614 
 16.700 	 9.614 
 16.885 	 9.620 
 17.075 	 9.623 
 17.260 	 9.615 
 17.450 	 9.619 
 17.640 	 9.619 
 17.825 	 9.614 
 18.015 	 9.615 
 18.200 	 9.619 
 18.390 	 9.614 
 18.580 	 9.615 
 18.765 	 9.619 
 18.955 	 9.618 
 19.140 	 9.614 
 19.330 	 9.619 
 19.520 	 9.618 
 19.705 	 9.614 
 19.895 	 9.615 
 20.080 	 9.619 
 20.270 	 9.614 
 20.460 	 9.615 
 20.645 	 9.619 
 20.835 	 9.614 
 21.020 	 9.615 
 21.210 	 9.619 
 21.400 	 9.619 
 21.585 	 9.614 
 21.775 	 9.615 
 21.960 	 9.619 
 22.150 	 9.619 
 22.340 	 9.619 
 22.525 	 9.619 
 22.715 	 9.620 
 22.900 	 9.623 
 23.090 	 9.463 
 23.280 	 8.087 
 23.465 	 8.179 
 23.655 	 8.251 
 23.840 	 8.269 
 24.030 	 8.303 
 24.220 	 8.312 
 24.405 	 8.337 
 24.595 	 8.347 
 24.780 	 8.365 
 24.970 	 8.384 
