Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data     10/02/2022  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Br	Rb	Sr	Y	Zr	Sb	Ba	Ce	Sm	Ta	W	Pb	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000013.spe	204.00	7.35	0	0.010270	-0.010164	0.009073	0.081458	74149	1.70	77	1295	0	101	4451	883	4284	98285	2658	141	848	875	47003	163	635	152	180	82	0	1056	1206	9209	111	1709	448	0	126	214	1389	4284	114	459	47	277	160	303	85702	23838	0.172	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000014.spe	206.00	7.35	0	0.010270	-0.010164	0.009073	0.081458	74536	1.79	89	1130	0	137	4255	868	5102	98268	2316	74	722	808	53416	0	698	215	322	119	0	1116	1304	9996	197	2141	432	47	123	230	1391	4539	211	121	109	352	270	532	84961	23578	0.171	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000015.spe	208.00	7.36	0	0.010270	-0.010164	0.009073	0.081458	74681	1.64	81	1189	0	99	4185	920	5097	95419	2242	109	753	742	55815	135	540	0	227	41	0	1018	1218	9835	174	2272	567	28	134	179	1592	4156	230	198	321	362	311	155	85304	25714	0.172	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000016.spe	210.00	7.36	1	0.010270	-0.010164	0.009073	0.081458	73709	1.58	101	1255	0	157	4002	625	4208	85120	1747	167	841	812	46647	647	642	180	208	66	0	1108	1113	9838	0	2076	366	0	67	186	1382	4169	62	415	364	183	154	0	85458	23344	0.175	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000017.spe	212.00	7.34	0	0.010270	-0.010164	0.009073	0.081458	73314	1.60	50	1365	0	129	4298	870	4033	80884	2923	168	1021	928	41578	273	588	0	123	179	0	1011	1153	8393	45	2258	350	0	121	207	1627	4114	232	303	472	304	155	0	87370	21580	0.176	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000018.spe	214.00	7.32	0	0.010270	-0.010164	0.009073	0.081458	72777	1.55	37	1418	0	141	4309	867	3543	72281	3110	178	1408	824	39301	342	750	20	250	63	0	968	1102	7923	29	2743	285	73	82	228	1465	4407	205	359	444	186	146	0	88618	23423	0.177	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000019.spe	216.00	7.32	0	0.010270	-0.010164	0.009073	0.081458	74989	1.72	68	1861	0	141	4003	608	4209	79719	1861	237	911	737	44624	174	755	28	277	163	0	859	1588	8719	131	3213	338	62	67	197	1426	4676	192	274	0	272	265	68	90001	24172	0.178	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000020.spe	218.00	7.34	1	0.010270	-0.010164	0.009073	0.081458	71661	1.57	150	2057	0	135	3646	716	3778	76169	1980	192	656	701	39639	389	790	0	287	108	0	915	1131	8218	104	1864	392	88	104	167	1391	4629	91	91	0	168	170	0	87215	24103	0.176	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000021.spe	220.00	7.34	1	0.010270	-0.010164	0.009073	0.081458	73118	1.64	38	1377	0	144	4572	701	3325	65508	1930	204	644	704	41327	92	722	26	325	0	0	1058	856	8782	149	2008	396	0	120	198	1590	4461	179	301	562	377	309	162	90135	22797	0.178	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1\XRF data\L000022.spe	222.00	7.34	1	0.010270	-0.010164	0.009073	0.081458	74488	1.62	35	956	0	161	5089	677	3730	70167	2613	82	1046	860	53850	0	669	16	410	142	0	1299	1175	9686	0	2355	398	67	118	241	1529	4342	177	126	400	418	136	661	85900	24691	0.175	
