x Distance [mm]	Height [cm]
 -1.840 	 3.622 
 -1.650 	 3.605 
 -1.465 	 3.604 
 -1.275 	 3.630 
 -1.085 	 3.680 
 -0.900 	 3.723 
 -0.710 	 3.768 
 -0.525 	 1.412 
 -0.335 	 1.179 
 -0.145 	 1.626 
 0.040 	 1.819 
 0.230 	 1.862 
 0.415 	 1.870 
 0.605 	 1.858 
 0.795 	 1.838 
 0.980 	 1.827 
 1.170 	 1.796 
 1.355 	 1.741 
 1.545 	 1.744 
 1.735 	 1.756 
 1.920 	 1.765 
 2.110 	 1.793 
 2.295 	 1.815 
 2.485 	 1.838 
 2.675 	 1.830 
 2.860 	 1.826 
 3.050 	 1.826 
 3.235 	 1.822 
 3.425 	 1.841 
 3.615 	 1.811 
 3.800 	 1.695 
 3.990 	 1.534 
 4.175 	 1.382 
 4.365 	 1.296 
 4.555 	 1.291 
 4.740 	 1.290 
 4.930 	 1.315 
 5.115 	 1.366 
 5.305 	 1.398 
 5.495 	 1.482 
 5.680 	 1.502 
 5.870 	 1.842 
 6.055 	 2.103 
 6.245 	 2.223 
 6.435 	 2.083 
 6.620 	 1.637 
 6.810 	 1.334 
 6.995 	 1.176 
 7.185 	 1.203 
 7.375 	 1.654 
 7.560 	 1.889 
 7.750 	 2.091 
 7.935 	 2.261 
 8.125 	 2.486 
 8.315 	 2.619 
 8.500 	 2.739 
 8.690 	 2.908 
 8.875 	 5.272 
 9.065 	 5.882 
 9.255 	 5.897 
 9.440 	 5.902 
 9.630 	 5.987 
 9.815 	 6.020 
 10.005 	 6.070 
 10.195 	 6.077 
 10.380 	 9.194 
 10.570 	 6.085 
 10.755 	 4.583 
 10.945 	 8.376 
 11.135 	 9.619 
 11.320 	 5.334 
 11.510 	 4.586 
 11.695 	 4.626 
 11.885 	 4.655 
 12.075 	 4.686 
 12.260 	 4.684 
 12.450 	 9.579 
 12.635 	 7.120 
 12.825 	 6.530 
 13.015 	 6.533 
 13.200 	 6.547 
 13.390 	 9.001 
 13.575 	 9.624 
 13.765 	 9.616 
 13.955 	 9.619 
 14.140 	 9.615 
 14.330 	 5.739 
 14.515 	 5.560 
 14.705 	 5.586 
 14.895 	 5.551 
 15.080 	 5.555 
 15.270 	 9.240 
 15.455 	 9.598 
 15.645 	 9.614 
 15.835 	 9.623 
 16.020 	 9.624 
 16.210 	 9.623 
 16.395 	 9.623 
 16.585 	 9.623 
 16.775 	 9.622 
 16.960 	 9.622 
 17.150 	 9.621 
 17.335 	 9.621 
 17.525 	 9.621 
 17.715 	 9.620 
 17.900 	 9.620 
 18.090 	 9.619 
 18.275 	 9.619 
 18.465 	 9.619 
 18.655 	 9.618 
 18.840 	 9.618 
