Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP1\XRF data     10/02/2022  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Br	Rb	Sr	Y	Zr	Sb	Ba	Ce	Sm	Ta	W	Pb	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP1\XRF data\L000000.spe	200.00	7.35	0	0.010270	-0.010164	0.009073	0.081458	73206	1.70	65	1029	0	138	4085	881	4933	98706	2434	153	832	820	53152	0	529	175	239	103	9	957	1306	9573	0	2271	499	111	83	159	1419	4286	43	421	53	518	353	599	83442	25654	0.169	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP1\XRF data\L000001.spe	202.00	7.36	0	0.010270	-0.010164	0.009073	0.081458	71999	1.60	88	1216	0	100	3855	831	4822	91003	2257	147	689	764	50597	270	632	124	352	85	0	954	953	9172	120	1594	385	48	111	258	1418	4149	44	335	714	362	239	0	83289	25268	0.171	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP1\XRF data\L000002.spe	204.00	7.35	0	0.010270	-0.010164	0.009073	0.081458	74199	1.58	83	1361	0	111	3944	842	4473	101897	2645	88	805	894	47048	557	651	81	160	114	0	981	1331	9503	0	1430	463	54	99	245	1473	4169	208	410	42	292	148	0	84648	23815	0.172	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP1\XRF data\L000003.spe	206.00	7.35	0	0.010270	-0.010164	0.009073	0.081458	74967	1.82	67	1309	0	96	3860	929	5273	103312	2400	154	759	815	54087	0	663	122	228	203	0	1046	1163	10114	71	2169	453	57	64	169	1396	4339	336	270	380	432	232	447	82683	23567	0.171	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP1\XRF data\L000004.spe	208.00	7.36	1	0.010270	-0.010164	0.009073	0.081458	72933	1.63	21	1267	0	69	3536	653	5054	91882	2182	189	757	847	53057	332	660	20	319	0	0	1046	1224	9994	0	2064	378	104	65	200	1262	3895	172	351	198	316	255	52	82983	22635	0.172	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP1\XRF data\L000005.spe	210.00	7.36	1	0.010270	-0.010164	0.009073	0.081458	73939	1.62	88	1384	0	120	3661	699	4440	88970	1752	173	1174	720	48321	180	710	153	355	90	0	1101	1225	9738	26	2151	405	79	49	137	1300	4346	19	176	404	237	95	285	85529	23947	0.174	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP1\XRF data\L000006.spe	212.00	7.34	1	0.010270	-0.010164	0.009073	0.081458	72120	1.62	100	1647	0	103	3559	660	3861	79279	2843	168	752	959	39414	476	687	0	119	0	0	823	1062	8498	140	2106	387	0	125	177	1425	4021	245	87	642	149	250	0	88281	22388	0.177	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP1\XRF data\L000007.spe	214.00	7.32	0	0.010270	-0.010164	0.009073	0.081458	72882	1.76	55	1652	0	129	3985	825	3927	75740	3412	125	1453	881	39946	88	751	206	193	86	0	986	1042	7927	0	2705	339	0	170	193	1406	4475	286	186	291	347	228	342	89431	25000	0.177	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP1\XRF data\L000008.spe	216.00	7.32	0	0.010270	-0.010164	0.009073	0.081458	75063	1.77	56	2216	0	135	3479	657	4395	85223	1923	147	963	808	45127	0	589	16	310	51	0	888	1095	8661	109	3070	357	86	84	195	1443	4541	234	113	509	454	303	450	90279	25975	0.177	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP1\XRF data\L000009.spe	218.00	7.34	1	0.010270	-0.010164	0.009073	0.081458	71769	1.59	98	2363	0	104	3241	732	4000	80900	2085	217	699	708	40421	0	755	0	266	203	0	924	970	8014	0	1825	322	98	42	179	1379	4701	240	207	497	331	237	579	84909	23541	0.174	
