Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP2\XRF data     10/02/2022  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Br	Rb	Sr	Y	Zr	Sb	Ba	Ce	Sm	Ta	W	Pb	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP2\XRF data\L000000.spe	100.00	7.32	1	0.010270	-0.010164	0.009073	0.081458	80505	1.87	115	1212	0	55	3237	1239	7832	134725	4111	111	926	1233	95445	0	581	326	549	177	0	1791	1304	11447	194	1915	756	85	146	290	1303	3541	273	221	414	804	515	954	79485	23692	0.162	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP2\XRF data\L000001.spe	102.00	7.34	1	0.010270	-0.010164	0.009073	0.081458	78760	1.89	134	1180	0	61	3118	1285	7562	132677	3961	194	928	1145	93090	0	763	279	298	120	0	1593	1351	11090	428	2588	643	113	119	197	1294	3406	153	216	538	1027	394	1601	78241	22492	0.162	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP2\XRF data\L000002.spe	104.00	7.34	1	0.010270	-0.010164	0.009073	0.081458	78112	1.80	48	1075	0	39	3062	1227	7278	128564	4134	96	783	1154	92051	32	569	282	340	84	0	1576	1354	10903	248	1642	496	114	80	230	1305	3401	194	297	188	904	409	492	78142	21767	0.161	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP2\XRF data\L000003.spe	106.00	7.34	1	0.010270	-0.010164	0.009073	0.081458	80188	1.70	126	1188	0	134	3116	1278	7539	130581	4811	94	764	1221	99782	10	661	277	515	68	0	1938	1503	10907	99	1979	601	120	139	250	1290	3462	269	221	341	615	536	1036	77369	20695	0.162	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP2\XRF data\L000004.spe	108.00	7.35	1	0.010270	-0.010164	0.009073	0.081458	76412	1.83	94	1190	0	129	3137	1300	6875	118453	3952	151	864	1076	90096	0	604	298	316	134	0	1466	1415	10528	185	1993	499	144	58	283	1306	3614	242	329	399	857	341	610	74876	22356	0.160	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP2\XRF data\L000005.spe	110.00	7.35	1	0.010270	-0.010164	0.009073	0.081458	74215	1.71	85	1245	0	67	3197	1338	6242	115733	3889	104	857	1102	83934	0	564	297	265	0	0	1213	1434	10206	275	2241	511	66	121	239	1357	3504	178	269	30	881	318	914	76442	22817	0.159	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP2\XRF data\L000006.spe	112.00	7.35	1	0.010270	-0.010164	0.009073	0.081458	75096	1.87	89	1111	0	90	3271	1282	6583	118084	3815	108	885	1005	84466	0	631	314	385	203	0	1135	1269	10396	146	2234	473	102	93	267	1219	3559	84	331	498	932	375	1281	76894	23417	0.160	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP2\XRF data\L000007.spe	114.00	7.35	1	0.010270	-0.010164	0.009073	0.081458	75036	1.99	70	1379	0	83	3304	1278	6707	117366	3708	94	866	1012	83021	0	785	262	415	201	0	1256	1312	10369	280	2104	563	51	142	298	1438	3905	153	248	363	919	397	1640	75496	19431	0.160	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP2\XRF data\L000008.spe	116.00	7.34	1	0.010270	-0.010164	0.009073	0.081458	77536	1.67	52	1264	0	125	3894	1236	6747	123394	4265	140	900	1027	83222	0	682	258	412	345	0	1310	1216	10579	135	2239	569	49	162	324	1345	3906	198	415	258	835	468	430	77290	22602	0.162	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP2\XRF data\L000009.spe	118.00	7.34	1	0.010270	-0.010164	0.009073	0.081458	75678	1.94	43	2012	0	71	3089	1253	5745	135129	3342	109	673	778	67291	0	690	297	293	218	0	1003	1250	10437	151	2491	561	0	192	341	1398	4129	387	236	227	670	281	962	77264	24410	0.162	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP2\XRF data\L000010.spe	120.00	7.33	1	0.010270	-0.010164	0.009073	0.081458	68814	1.76	86	1954	0	106	2644	1325	4923	128195	2757	81	826	713	53141	0	604	138	228	225	0	789	1115	10205	0	1768	556	98	88	245	1243	3700	94	59	0	712	240	595	71045	20413	0.158	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP2\XRF data\L000011.spe	122.00	7.32	1	0.010270	-0.010164	0.009073	0.081458	74735	1.75	82	921	0	118	3697	1150	6635	117330	3640	132	905	1051	82502	102	604	179	274	128	0	1262	975	10606	154	1741	548	111	93	315	1392	3540	110	384	591	666	359	480	77033	23118	0.160	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP2\XRF data\L000012.spe	124.00	7.34	1	0.010270	-0.010164	0.009073	0.081458	76742	1.81	88	1266	0	101	3433	1289	6488	134065	4326	158	862	1081	86427	0	694	203	420	73	0	1221	1059	10929	325	1657	561	52	114	255	1332	3689	296	254	695	720	373	841	73823	21969	0.159	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP2\XRF data\L000013.spe	126.00	7.35	1	0.010270	-0.010164	0.009073	0.081458	81102	1.86	127	1176	0	85	2911	1306	7993	138114	4670	206	893	1192	102449	46	621	331	431	75	0	1721	1267	11376	218	1776	751	104	129	213	1313	3239	147	319	355	886	474	527	77382	22528	0.162	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP2\XRF data\L000014.spe	128.00	7.35	1	0.010270	-0.010164	0.009073	0.081458	80810	1.85	99	1350	0	71	3060	1249	8137	138718	4756	105	967	1271	98695	0	576	356	383	100	0	1564	1328	11238	383	1908	646	134	99	236	1165	3613	173	252	264	1079	427	1270	77787	22633	0.162	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP2\XRF data\L000015.spe	130.00	7.35	1	0.010270	-0.010164	0.009073	0.081458	79156	1.73	106	1186	0	94	3162	1222	7636	131431	4471	150	866	1160	94727	0	620	344	384	140	0	1313	1498	11086	305	1858	555	77	112	236	1177	3541	195	261	105	961	356	983	77839	22039	0.161	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP2\XRF data\L000016.spe	132.00	7.35	1	0.010270	-0.010164	0.009073	0.081458	80598	1.83	158	1198	0	82	3104	1251	7816	134439	4356	187	943	1289	99811	0	671	98	513	185	0	1363	1480	11149	355	1795	671	72	115	292	1326	3555	217	326	39	802	460	1222	76735	21446	0.162	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP2\XRF data\L000017.spe	134.00	7.35	1	0.010270	-0.010164	0.009073	0.081458	76974	1.85	62	1585	0	72	3583	1212	6703	138137	3738	59	824	1160	70625	0	751	172	378	263	0	1158	1378	10592	214	2004	667	10	173	291	1431	3740	107	162	112	801	327	916	79087	23637	0.163	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP2\XRF data\L000018.spe	136.00	7.34	1	0.010270	-0.010164	0.009073	0.081458	74191	1.75	63	1592	0	87	3350	1153	6414	114706	3481	131	882	1030	68871	0	662	227	485	117	0	1184	1242	10591	192	1641	537	107	99	267	1306	3967	162	196	464	770	296	1232	78383	23497	0.163	
