Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP2\XRF data     10/02/2022  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Br	Rb	Sr	Y	Zr	Sb	Ba	Ce	Sm	Ta	W	Pb	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP2\XRF data\L000000.spe	200.00	7.35	0	0.010270	-0.010164	0.009073	0.081458	73109	1.80	70	1073	0	104	3907	826	4800	98778	2560	168	717	930	53284	373	642	101	339	169	0	948	1018	9474	208	2147	363	19	107	176	1521	4244	200	63	372	428	283	0	81436	22898	0.170	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP2\XRF data\L000001.spe	202.00	7.36	0	0.010270	-0.010164	0.009073	0.081458	72004	1.73	12	1222	0	122	3790	842	4761	91077	2475	169	717	819	50683	211	639	108	256	72	0	1003	1111	8978	120	1494	487	104	102	254	1495	4040	301	208	272	443	271	73	83166	23417	0.171	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP2\XRF data\L000002.spe	204.00	7.35	0	0.010270	-0.010164	0.009073	0.081458	74170	1.78	62	1387	0	134	3827	835	4363	102743	2782	132	780	918	47141	142	690	18	89	58	0	994	1189	9440	113	1705	470	18	109	242	1478	4106	40	339	122	358	176	239	85361	24778	0.172	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP2\XRF data\L000003.spe	206.00	7.35	0	0.010270	-0.010164	0.009073	0.081458	74672	1.71	66	1403	0	129	3577	803	5448	104858	2483	130	783	787	54957	0	677	76	298	86	0	1182	1386	9964	0	2419	495	45	87	206	1327	4369	194	392	175	648	348	262	83235	25299	0.170	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP2\XRF data\L000004.spe	208.00	7.36	1	0.010270	-0.010164	0.009073	0.081458	73139	1.78	79	1346	0	126	3319	627	5123	94933	2118	183	687	818	54164	597	569	40	252	95	0	1045	1302	9884	148	2271	394	148	40	181	1229	3985	204	169	290	215	335	0	83029	23780	0.171	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP2\XRF data\L000005.spe	210.00	7.36	1	0.010270	-0.010164	0.009073	0.081458	73880	1.60	50	1462	0	117	3597	743	4501	91056	1860	103	1228	791	48887	413	674	60	271	110	0	996	1101	9927	33	2173	415	18	93	193	1208	4215	203	221	346	328	111	0	85334	24218	0.174	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP2\XRF data\L000006.spe	212.00	7.34	1	0.010270	-0.010164	0.009073	0.081458	72069	1.58	81	1725	0	103	3413	624	3937	80503	2963	169	614	947	39830	470	684	0	115	82	0	1054	1106	8281	79	2100	311	11	129	219	1339	4136	115	31	122	48	249	0	87468	24048	0.176	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP2\XRF data\L000007.spe	214.00	7.32	0	0.010270	-0.010164	0.009073	0.081458	72819	1.67	90	1810	0	87	3723	816	4007	76809	3336	185	1379	892	39712	122	669	91	367	101	0	898	1133	8086	0	2538	418	54	132	252	1484	4280	86	46	289	266	121	200	88132	25383	0.177	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP2\XRF data\L000008.spe	216.00	7.32	1	0.010270	-0.010164	0.009073	0.081458	75427	1.69	82	2310	0	45	3362	632	4530	87544	2071	144	929	865	45989	149	621	39	295	136	0	880	1005	8602	0	3084	324	68	77	152	1376	4556	334	371	430	329	267	127	88261	23976	0.177	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP2\XRF data\L000009.spe	218.00	7.34	1	0.010270	-0.010164	0.009073	0.081458	71839	1.77	83	2354	0	77	3109	745	4170	82631	2110	175	720	684	40077	220	725	0	282	202	0	786	1070	8442	218	1880	350	94	88	199	1406	4679	313	295	466	214	240	130	86825	25272	0.175	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP2\XRF data\L000010.spe	220.00	7.34	1	0.010270	-0.010164	0.009073	0.081458	73389	1.58	45	1740	0	71	3991	658	3629	72806	1989	167	691	739	42989	104	623	0	240	31	0	949	1201	8651	0	1663	365	60	63	252	1738	4385	119	166	329	353	109	200	88444	23417	0.177	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP2\XRF data\L000011.spe	222.00	7.34	1	0.010270	-0.010164	0.009073	0.081458	75305	1.63	36	1339	0	111	4484	831	4359	82959	2999	164	1126	803	56145	97	857	143	409	120	0	923	1430	9697	88	2592	412	26	136	195	1482	4401	99	213	218	260	340	366	86465	22033	0.174	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP2\XRF data\L000012.spe	224.00	7.33	1	0.010270	-0.010164	0.009073	0.081458	76781	1.64	32	744	0	148	5156	669	4330	87797	2980	149	821	937	56834	65	705	0	277	39	0	1156	1273	10625	32	1814	355	30	89	170	1604	4023	97	327	405	497	257	330	88004	26219	0.174	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP2\XRF data\L000013.spe	226.00	7.32	1	0.010270	-0.010164	0.009073	0.081458	75736	1.61	86	838	0	130	4667	681	4182	93674	2623	164	782	859	50068	304	662	127	293	0	0	1201	1415	10634	0	2285	439	7	114	153	1364	4273	223	362	128	324	312	29	86144	24572	0.174	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP2\XRF data\L000014.spe	228.00	7.32	1	0.010270	-0.010164	0.009073	0.081458	74795	1.59	41	809	0	141	4943	646	3964	80261	2257	180	757	1221	49360	83	751	114	402	28	0	1008	1363	10550	198	2489	383	0	161	245	1599	4020	205	240	0	354	197	317	87794	25094	0.176	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_1\JC36_74_1REP2\XRF data\L000015.spe	230.00	7.32	1	0.010270	-0.010164	0.009073	0.081458	76218	1.58	68	1428	0	103	4262	709	4861	97535	2764	77	650	972	46553	250	678	151	253	219	0	1131	1163	10182	85	2978	472	58	118	174	1479	4021	181	207	236	152	241	68	88865	25644	0.175	
