Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP1\XRF data     10/02/2022  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Br	Rb	Sr	Y	Zr	Sb	Ba	Ce	Sm	Ta	W	Pb	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP1\XRF data\L000000.spe	100.00	7.32	1	0.010270	-0.010164	0.009073	0.081458	80406	1.76	79	1132	0	74	3336	1264	7809	135336	4017	207	820	1163	95299	148	736	416	366	44	0	1743	1219	11198	404	1767	534	144	75	287	1354	3536	166	414	506	893	491	245	79857	23694	0.162	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP1\XRF data\L000001.spe	102.00	7.34	1	0.010270	-0.010164	0.009073	0.081458	78847	1.76	105	1157	0	93	3055	1288	7476	133299	3951	132	791	1158	93041	0	639	305	417	143	0	1693	1362	10958	290	2656	580	92	109	229	1187	3497	205	255	379	936	322	891	76885	20339	0.162	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP1\XRF data\L000002.spe	104.00	7.34	1	0.010270	-0.010164	0.009073	0.081458	78271	1.75	84	994	0	63	3097	1385	7203	127671	4095	181	795	1189	91644	0	646	257	424	136	0	1725	1260	10994	264	1992	685	26	155	253	1279	3367	225	65	299	821	438	956	78154	21650	0.163	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP1\XRF data\L000003.spe	106.00	7.34	1	0.010270	-0.010164	0.009073	0.081458	80293	1.68	100	1231	0	49	3123	1280	7615	130997	4851	83	845	1189	100137	0	656	261	414	52	0	1860	1062	10725	270	2014	494	86	125	231	1271	3346	251	313	540	731	402	1082	77959	22570	0.162	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP1\XRF data\L000004.spe	108.00	7.35	1	0.010270	-0.010164	0.009073	0.081458	76401	1.76	16	1148	0	95	3241	1274	6965	118887	4002	188	906	1185	89868	132	630	283	464	103	0	1434	1236	10459	169	2029	486	39	135	298	1327	3428	7	436	216	724	390	457	76651	21911	0.161	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP1\XRF data\L000005.spe	110.00	7.35	1	0.010270	-0.010164	0.009073	0.081458	74234	1.87	57	1189	0	88	3190	1335	6328	115494	3921	171	806	1177	84103	0	584	241	300	12	0	1401	1318	10633	208	2072	518	47	182	218	1335	3471	244	440	328	1126	307	821	75406	22031	0.160	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP1\XRF data\L000006.spe	112.00	7.35	1	0.010270	-0.010164	0.009073	0.081458	75131	1.84	57	1069	0	36	3315	1343	6637	117318	3917	127	905	1063	84685	0	582	283	426	160	0	1295	1431	10527	304	2075	538	111	76	304	1398	3553	184	359	171	828	403	974	76025	21641	0.161	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP1\XRF data\L000007.spe	114.00	7.35	1	0.010270	-0.010164	0.009073	0.081458	75138	1.86	79	1340	0	67	3423	1281	6570	116508	3671	148	879	1105	83506	0	681	266	472	287	0	1200	1404	10472	202	2051	572	84	196	224	1361	3947	314	58	249	841	488	632	74646	20046	0.161	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP1\XRF data\L000008.spe	116.00	7.34	1	0.010270	-0.010164	0.009073	0.081458	77558	1.82	54	1260	0	101	3883	1239	6576	123238	4329	167	851	1064	83223	0	695	205	390	162	0	1201	1324	10550	182	2442	587	48	152	328	1537	3868	244	276	344	970	303	600	77864	23386	0.162	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2REP1\XRF data\L000009.spe	118.00	7.34	1	0.010270	-0.010164	0.009073	0.081458	75868	1.95	85	1961	0	98	3200	1318	5761	135281	3247	69	793	803	67425	0	656	207	241	155	0	1218	1095	10360	214	2408	638	0	202	320	1463	4292	246	224	432	888	200	1040	77889	19916	0.162	
