Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP2\XRF data     10/02/2022  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Br	Rb	Sr	Y	Zr	Sb	Ba	Ce	Sm	Ta	W	Pb	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP2\XRF data\L000000.spe	100.00	7.73	1	0.010270	-0.010164	0.009073	0.081458	82660	1.88	126	1846	0	189	4233	1336	6547	132926	2700	187	927	1033	64930	0	778	152	228	77	0	1228	1136	10219	0	2011	676	27	136	327	1818	4622	312	122	286	819	176	956	87774	25834	0.172	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP2\XRF data\L000001.spe	102.00	7.73	1	0.010270	-0.010164	0.009073	0.081458	76057	1.90	41	1525	0	118	3575	1277	6329	116036	2648	202	908	728	54088	136	708	156	318	202	0	956	1563	9504	0	1495	536	138	91	302	1353	4600	249	60	207	513	210	58	83072	25250	0.169	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP2\XRF data\L000002.spe	104.00	7.74	1	0.010270	-0.010164	0.009073	0.081458	77932	1.61	65	1307	0	147	4412	1204	5247	108714	2899	120	939	942	54496	0	837	211	349	249	0	955	1407	10535	0	1703	533	63	132	260	1661	4253	440	0	41	519	273	502	87216	24753	0.173	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP2\XRF data\L000003.spe	106.00	7.76	1	0.010270	-0.010164	0.009073	0.081458	82776	1.97	64	1321	0	159	4575	1264	5957	116615	2835	142	965	889	63255	0	775	222	451	433	0	1234	1435	11260	50	2561	622	140	138	340	1439	4885	360	324	343	848	218	1089	90020	26655	0.176	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP2\XRF data\L000004.spe	108.00	7.73	1	0.010270	-0.010164	0.009073	0.081458	78647	1.80	76	1185	0	170	4319	1054	5550	107068	3311	135	1020	918	62758	0	662	175	398	92	0	1300	1119	10466	118	1957	493	102	89	236	1721	4354	163	196	416	632	251	507	85726	24816	0.172	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP2\XRF data\L000005.spe	110.00	7.74	1	0.010270	-0.010164	0.009073	0.081458	82551	1.72	88	1094	0	194	4920	1130	6134	112447	3886	168	850	1050	72704	131	663	204	362	7	0	1279	1098	10903	199	1729	499	0	196	197	1685	4254	253	256	843	644	216	321	88257	25651	0.174	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP2\XRF data\L000006.spe	112.00	7.77	1	0.010270	-0.010164	0.009073	0.081458	84591	1.83	82	1059	0	169	5275	1258	6323	119570	3196	158	992	1085	75720	337	716	358	383	122	0	1179	1530	11026	181	2337	620	62	145	279	1665	4813	302	130	110	613	318	37	88112	26013	0.174	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP2\XRF data\L000007.spe	114.00	7.78	1	0.010270	-0.010164	0.009073	0.081458	83895	1.84	109	996	0	146	5195	1255	6253	120014	3458	106	808	1035	70942	0	679	214	333	258	0	1216	1403	10757	80	1819	495	15	184	311	1631	4725	255	204	247	1037	300	871	89038	25697	0.174	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP2\XRF data\L000008.spe	116.00	7.78	1	0.010270	-0.010164	0.009073	0.081458	81088	1.68	42	977	0	179	5696	1366	5296	100512	2856	157	1191	869	57093	0	655	208	337	0	0	1093	1382	10273	163	2265	549	61	184	290	1799	4971	373	246	169	573	277	304	92001	24570	0.177	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP2\XRF data\L000009.spe	118.00	7.76	1	0.010270	-0.010164	0.009073	0.081458	81410	1.69	57	1232	0	133	5075	1310	5278	111664	2375	183	962	919	61162	0	730	223	244	261	0	1347	1342	10270	0	1704	504	35	179	228	1649	4758	210	215	185	645	272	516	88895	25361	0.175	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP2\XRF data\L000010.spe	120.00	7.75	1	0.010270	-0.010164	0.009073	0.081458	86191	2.04	67	1301	0	162	4296	1318	7359	129391	4351	151	991	1102	85375	0	720	367	549	141	0	1464	1462	11670	156	1685	676	26	146	252	1570	4707	364	237	175	891	394	688	88102	25267	0.172	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP2\XRF data\L000011.spe	122.00	7.76	1	0.010270	-0.010164	0.009073	0.081458	86407	1.87	104	1105	0	188	4403	1352	6848	141548	4222	131	982	1062	79579	0	758	280	410	22	0	1322	1316	11829	322	2564	673	94	154	287	1639	4078	110	405	653	969	300	782	89299	26735	0.173	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP2\XRF data\L000012.spe	124.00	7.75	1	0.010270	-0.010164	0.009073	0.081458	84056	1.91	90	1171	0	173	5213	1414	5898	111029	3302	93	1003	951	71028	0	943	218	319	230	0	1234	1495	11370	80	2505	563	129	134	282	1670	4276	138	340	360	1164	176	1037	91499	27232	0.176	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP2\XRF data\L000013.spe	126.00	7.71	1	0.010270	-0.010164	0.009073	0.081458	90645	1.98	128	1527	0	124	4814	1293	7679	146122	4388	127	1197	1239	85946	0	782	134	435	261	0	1296	1665	11600	156	2745	657	0	171	344	1708	4616	191	421	215	1066	411	1236	92206	28206	0.177	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP2\XRF data\L000014.spe	128.00	7.67	1	0.010270	-0.010164	0.009073	0.081458	93400	1.87	89	1259	0	184	5093	1320	7001	162270	5051	122	1046	1411	88321	211	861	211	472	198	0	1536	1488	13044	159	2787	773	0	198	295	1605	4601	216	455	461	634	391	468	93200	29433	0.177	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP2\XRF data\L000015.spe	130.00	7.62	1	0.010270	-0.010164	0.009073	0.081458	93045	2.01	99	1609	0	159	4695	1361	7561	164262	4487	163	1003	1181	87465	0	685	136	409	213	0	1497	1353	13209	291	3014	794	116	168	345	1639	4466	324	357	492	966	338	874	93673	28820	0.177	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP2\XRF data\L000016.spe	132.00	7.60	1	0.010270	-0.010164	0.009073	0.081458	88342	1.75	117	1608	0	78	3891	1351	7378	146225	4287	226	897	1173	88948	18	820	306	399	264	0	1356	1502	12326	280	2467	708	125	106	351	1363	4110	168	248	123	892	417	422	90129	24171	0.174	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP2\XRF data\L000017.spe	134.00	7.58	1	0.010270	-0.010164	0.009073	0.081458	86715	1.88	85	1631	0	108	4022	1354	7243	142756	4228	157	932	1144	81885	0	781	371	348	147	0	1393	1145	11961	416	3020	713	151	115	338	1554	4129	234	84	783	792	283	661	89220	28331	0.172	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP2\XRF data\L000018.spe	136.00	7.53	1	0.010270	-0.010164	0.009073	0.081458	81252	1.75	66	1172	0	184	4496	1238	6474	127693	4028	147	864	1091	78786	0	703	224	339	162	0	1452	1463	11860	184	1894	613	0	153	235	1704	3968	290	206	172	692	285	967	83507	21455	0.169	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP2\XRF data\L000019.spe	138.00	7.52	1	0.010270	-0.010164	0.009073	0.081458	82064	1.77	63	985	0	102	4469	1191	5895	143831	3667	188	869	954	68963	55	651	169	365	266	0	1489	1084	12642	315	2178	686	0	168	207	1421	4121	236	129	369	627	335	382	83616	25401	0.169	
