x Distance [mm]	Height [cm]
 47.900 	 7.218 
 48.090 	 7.212 
 48.275 	 7.210 
 48.465 	 7.209 
 48.655 	 7.212 
 48.840 	 7.216 
 49.030 	 7.220 
 49.215 	 7.217 
 49.405 	 7.217 
 49.595 	 7.217 
 49.780 	 7.219 
 49.970 	 7.220 
 50.155 	 7.219 
 50.345 	 7.220 
 50.535 	 7.219 
 50.720 	 7.220 
 50.910 	 7.217 
 51.095 	 7.217 
 51.285 	 7.215 
 51.475 	 7.210 
 51.660 	 7.209 
 51.850 	 7.212 
 52.035 	 7.214 
 52.225 	 7.214 
 52.415 	 7.207 
 52.600 	 7.209 
 52.790 	 7.212 
 52.975 	 7.212 
 53.165 	 7.211 
 53.355 	 7.210 
 53.540 	 7.215 
 53.730 	 7.210 
 53.915 	 7.209 
 54.105 	 7.216 
 54.295 	 7.220 
 54.480 	 7.217 
 54.670 	 7.219 
 54.855 	 7.218 
 55.045 	 7.214 
 55.235 	 7.220 
 55.420 	 7.227 
 55.610 	 7.227 
 55.795 	 7.229 
 55.985 	 7.230 
 56.175 	 7.225 
 56.360 	 7.222 
 56.550 	 7.222 
 56.735 	 7.222 
 56.925 	 7.222 
 57.115 	 7.222 
 57.300 	 7.219 
 57.490 	 7.217 
 57.675 	 7.219 
 57.865 	 7.224 
 58.055 	 7.227 
 58.240 	 7.227 
 58.430 	 7.227 
 58.615 	 7.225 
 58.805 	 7.224 
 58.995 	 7.227 
 59.180 	 7.227 
 59.370 	 7.227 
 59.555 	 7.229 
 59.745 	 7.226 
 59.935 	 7.217 
 60.120 	 7.223 
 60.310 	 7.231 
 60.495 	 7.231 
 60.685 	 7.229 
 60.875 	 7.225 
 61.060 	 7.222 
 61.250 	 7.222 
 61.435 	 7.228 
 61.625 	 7.236 
 61.815 	 7.240 
 62.000 	 7.244 
 62.190 	 7.243 
 62.375 	 7.246 
 62.565 	 7.248 
 62.755 	 7.249 
 62.940 	 7.248 
 63.130 	 7.255 
 63.315 	 7.258 
 63.505 	 7.256 
 63.695 	 7.259 
 63.880 	 7.261 
 64.070 	 7.263 
 64.255 	 7.263 
 64.445 	 7.263 
 64.635 	 7.263 
 64.820 	 7.261 
 65.010 	 7.256 
 65.195 	 7.247 
 65.385 	 7.243 
 65.575 	 7.246 
 65.760 	 7.246 
 65.950 	 7.244 
 66.135 	 7.244 
 66.325 	 7.246 
 66.515 	 7.246 
 66.700 	 7.249 
 66.890 	 7.251 
 67.075 	 7.255 
 67.265 	 7.261 
 67.455 	 7.261 
 67.640 	 7.261 
 67.830 	 7.259 
 68.015 	 7.256 
 68.205 	 7.258 
 68.395 	 7.259 
 68.580 	 7.256 
 68.770 	 7.256 
 68.955 	 7.261 
 69.145 	 7.266 
 69.335 	 7.266 
 69.520 	 7.261 
 69.710 	 7.254 
 69.895 	 7.249 
 70.085 	 7.248 
 70.275 	 7.251 
 70.460 	 7.251 
 70.650 	 7.253 
 70.835 	 7.254 
 71.025 	 7.256 
 71.215 	 7.258 
 71.400 	 7.258 
 71.590 	 7.261 
 71.775 	 7.256 
 71.965 	 7.251 
 72.155 	 7.251 
 72.340 	 7.251 
 72.530 	 7.249 
 72.715 	 7.251 
 72.905 	 7.249 
 73.095 	 7.248 
 73.280 	 7.251 
 73.470 	 7.246 
 73.655 	 7.246 
 73.845 	 7.248 
 74.035 	 7.249 
 74.220 	 7.246 
 74.410 	 7.249 
 74.595 	 7.248 
 74.785 	 7.246 
 74.975 	 7.246 
 75.160 	 7.248 
 75.350 	 7.249 
 75.535 	 7.250 
 75.725 	 7.258 
 75.915 	 7.263 
 76.100 	 7.263 
 76.290 	 7.263 
 76.475 	 7.266 
 76.665 	 7.266 
 76.855 	 7.266 
 77.040 	 7.266 
 77.230 	 7.266 
 77.415 	 7.263 
 77.605 	 7.261 
 77.795 	 7.261 
 77.980 	 7.261 
 78.170 	 7.261 
 78.355 	 7.259 
 78.545 	 7.258 
 78.735 	 7.261 
 78.920 	 7.259 
 79.110 	 7.256 
 79.295 	 7.262 
 79.485 	 7.263 
 79.675 	 7.258 
 79.860 	 7.258 
 80.050 	 7.265 
 80.235 	 7.268 
 80.425 	 7.268 
 80.615 	 7.268 
 80.800 	 7.266 
 80.990 	 7.263 
 81.175 	 7.263 
 81.365 	 7.263 
 81.555 	 7.266 
 81.740 	 7.273 
 81.930 	 7.275 
 82.115 	 7.278 
 82.305 	 7.280 
 82.495 	 7.278 
 82.680 	 7.273 
 82.870 	 7.271 
 83.055 	 7.273 
 83.245 	 7.270 
 83.435 	 7.268 
 83.620 	 7.268 
 83.810 	 7.268 
 83.995 	 7.265 
 84.185 	 7.266 
 84.375 	 7.265 
 84.560 	 7.266 
 84.750 	 7.271 
 84.935 	 7.271 
 85.125 	 7.271 
 85.315 	 7.268 
 85.500 	 7.268 
 85.690 	 7.273 
 85.875 	 7.278 
 86.065 	 7.280 
 86.255 	 7.278 
 86.440 	 7.278 
 86.630 	 7.283 
 86.815 	 7.280 
 87.005 	 7.278 
 87.195 	 7.283 
 87.380 	 7.283 
 87.570 	 7.280 
 87.755 	 7.280 
 87.945 	 7.285 
 88.135 	 7.290 
 88.320 	 7.287 
 88.510 	 7.293 
 88.695 	 7.297 
 88.885 	 7.295 
 89.075 	 7.300 
 89.260 	 7.302 
 89.450 	 7.305 
 89.635 	 7.310 
 89.825 	 7.310 
 90.015 	 7.310 
 90.200 	 7.304 
 90.390 	 7.300 
 90.575 	 7.303 
 90.765 	 7.302 
 90.955 	 7.300 
 91.140 	 7.302 
 91.330 	 7.299 
 91.515 	 7.301 
 91.705 	 7.299 
 91.895 	 7.301 
 92.080 	 7.299 
 92.270 	 7.295 
 92.455 	 7.289 
 92.645 	 7.282 
 92.835 	 7.280 
 93.020 	 7.283 
 93.210 	 7.285 
 93.395 	 7.288 
 93.585 	 7.290 
 93.775 	 7.290 
 93.960 	 7.293 
 94.150 	 7.292 
 94.335 	 7.290 
 94.525 	 7.290 
 94.715 	 7.292 
 94.900 	 7.297 
 95.090 	 7.305 
 95.275 	 7.310 
 95.465 	 7.310 
 95.655 	 7.310 
 95.840 	 7.312 
 96.030 	 7.314 
 96.215 	 7.317 
 96.405 	 7.317 
 96.595 	 7.317 
 96.780 	 7.322 
 96.970 	 7.322 
 97.155 	 7.322 
 97.345 	 7.322 
 97.535 	 7.319 
 97.720 	 7.319 
 97.910 	 7.322 
 98.095 	 7.321 
 98.285 	 7.316 
 98.475 	 7.314 
 98.660 	 7.314 
 98.850 	 7.319 
 99.035 	 7.324 
