Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data     10/02/2022  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Br	Rb	Sr	Y	Zr	Sb	Ba	Ce	Sm	Ta	W	Pb	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000000.spe	38.69	6.95	1	0.010270	-0.010164	0.009073	0.081458	64787	1.77	84	1793	0	126	3483	1019	4503	87930	2265	129	620	874	42591	0	630	83	151	232	0	759	1147	9113	236	1712	367	56	128	262	1477	4011	52	242	259	522	90	426	75960	21725	0.161	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000001.spe	40.69	6.96	1	0.010270	-0.010164	0.009073	0.081458	44276	1.58	103	1249	0	78	1825	960	3512	73898	1113	97	594	458	29413	0	410	8	215	171	0	653	805	5747	12	948	336	61	76	140	903	2564	157	222	0	314	114	368	50113	14902	0.143	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000002.spe	42.69	7.06	1	0.010270	-0.010164	0.009073	0.081458	49308	1.38	57	617	0	86	2385	1010	3367	60270	1877	118	520	631	42670	0	472	68	169	95	0	771	811	6861	190	1286	257	0	43	124	968	2409	113	161	333	283	214	593	56062	16168	0.150	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000003.spe	44.69	7.15	1	0.010270	-0.010164	0.009073	0.081458	60229	1.47	96	680	0	46	2918	897	4670	79053	2470	124	934	778	55628	127	615	194	332	106	0	1180	1264	8687	299	1879	348	52	80	190	1075	3177	267	255	142	431	208	474	67239	21680	0.155	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000004.spe	46.69	7.20	1	0.010270	-0.010164	0.009073	0.081458	74270	1.69	76	1009	0	142	3906	944	6403	113999	3729	190	976	1105	77385	0	650	245	325	13	22	1300	1470	10622	175	2211	563	62	154	228	1413	3792	24	448	102	699	298	796	75410	22886	0.161	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000005.spe	48.69	7.21	1	0.010270	-0.010164	0.009073	0.081458	76240	1.64	105	908	0	113	4835	980	6331	117706	4221	170	870	1087	78214	0	785	140	468	55	0	1319	1465	11389	175	2079	518	0	102	209	1502	3847	207	220	206	679	309	751	76131	19283	0.163	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000006.spe	50.69	7.22	1	0.010270	-0.010164	0.009073	0.081458	73354	1.75	66	1021	0	121	4868	1140	5357	114264	3074	171	958	1003	61682	0	571	152	305	159	0	1231	1223	10474	232	1904	563	0	149	331	1442	4029	256	238	278	530	214	1231	77588	23081	0.163	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000007.spe	52.69	7.21	1	0.010270	-0.010164	0.009073	0.081458	70240	1.74	39	1230	0	139	4605	1074	4999	90828	3149	196	878	822	54693	0	712	83	225	359	0	1029	1310	9396	138	2226	479	0	171	351	1426	4277	219	541	313	788	227	477	79330	22360	0.165	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000008.spe	54.69	7.22	1	0.010270	-0.010164	0.009073	0.081458	72089	1.67	90	1613	0	109	4441	1088	5413	110287	3629	130	737	920	56866	0	644	151	386	63	0	877	1165	9688	301	1819	474	53	111	278	1602	3935	114	421	458	623	207	948	77771	25578	0.163	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000009.spe	56.69	7.22	1	0.010270	-0.010164	0.009073	0.081458	68413	1.96	46	1737	0	123	4772	1086	4433	86372	2025	81	809	959	48614	0	552	108	214	65	0	796	1171	8893	50	1453	334	100	108	251	1515	4520	122	0	328	745	211	1496	77160	19620	0.164	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000010.spe	58.69	7.23	1	0.010270	-0.010164	0.009073	0.081458	68073	1.73	69	1620	0	90	4485	1120	4997	96987	2479	61	1099	862	50197	82	706	236	344	199	0	990	1172	8782	0	1794	441	83	126	284	1542	4268	302	264	279	471	260	203	75346	19529	0.162	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000011.spe	60.69	7.23	1	0.010270	-0.010164	0.009073	0.081458	68369	1.52	7	1114	0	126	3741	1020	5117	100909	3655	127	868	922	61406	0	675	163	351	135	0	1073	1195	9601	146	1567	527	82	85	264	1393	3614	200	208	361	476	280	792	73731	20170	0.159	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000012.spe	62.69	7.25	1	0.010270	-0.010164	0.009073	0.081458	77803	1.64	120	1091	0	134	3989	1020	7212	119407	4024	189	968	1123	89583	0	687	227	494	92	0	1544	1557	10872	401	2217	537	74	86	212	1380	3851	238	396	168	1040	384	1104	79060	21937	0.161	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000013.spe	64.69	7.26	1	0.010270	-0.010164	0.009073	0.081458	73086	1.77	56	1291	0	106	3799	1172	5866	112003	3547	148	798	973	68718	0	660	57	299	104	0	1296	1372	10117	150	1665	507	43	175	215	1520	3959	244	342	296	559	263	742	77102	21169	0.163	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000014.spe	66.69	7.25	1	0.010270	-0.010164	0.009073	0.081458	74205	1.82	0	1074	0	148	5259	1031	5083	102216	3581	100	888	968	66881	28	788	180	337	372	0	1171	1241	10062	199	2190	527	58	156	245	1455	4444	223	473	543	461	345	660	79853	23554	0.165	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000015.spe	68.69	7.26	1	0.010270	-0.010164	0.009073	0.081458	74152	1.70	68	1682	0	134	4439	1118	5525	110618	3595	87	1161	940	62463	0	677	144	303	240	0	1066	1368	9820	135	2249	508	0	193	325	1567	4260	307	278	190	630	261	646	78589	19290	0.163	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000016.spe	70.69	7.25	1	0.010270	-0.010164	0.009073	0.081458	72094	1.75	58	2342	0	121	3734	1074	5329	107848	2270	141	971	846	52790	0	595	218	291	214	0	924	1153	9927	216	2081	383	131	137	290	1444	4204	108	254	555	604	201	589	79777	25021	0.164	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000017.spe	72.69	7.25	1	0.010270	-0.010164	0.009073	0.081458	69165	1.92	90	2451	0	132	3191	1230	5044	115037	2507	111	825	788	40532	0	633	89	238	250	0	931	1042	8814	5	2461	512	111	101	235	1401	4288	219	180	226	548	157	860	77108	23784	0.163	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000018.spe	74.69	7.25	1	0.010270	-0.010164	0.009073	0.081458	70038	1.68	67	1279	0	97	4157	1090	4599	109881	2429	111	805	998	50914	0	606	158	216	139	0	897	1076	9747	184	2262	511	93	97	218	1444	3871	69	558	558	523	188	852	76795	20521	0.163	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000019.spe	76.69	7.26	1	0.010270	-0.010164	0.009073	0.081458	69753	1.72	94	1862	0	165	4339	1240	4424	96237	2474	147	778	855	42993	0	554	275	299	144	0	856	1395	9065	0	2908	462	114	158	269	1667	4345	80	338	158	539	241	776	79389	24821	0.165	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000020.spe	78.69	7.26	1	0.010270	-0.010164	0.009073	0.081458	69198	1.88	52	2294	0	86	3449	1209	5108	110048	1654	108	673	646	38450	0	649	225	223	308	0	855	1223	9635	134	1233	548	53	131	262	1398	3939	202	233	383	609	140	858	79802	25800	0.165	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000021.spe	80.69	7.27	1	0.010270	-0.010164	0.009073	0.081458	70447	1.67	86	1251	0	164	4378	1141	4844	90829	3285	224	997	751	58344	0	536	187	278	138	0	966	1273	9169	11	1361	462	52	158	298	1525	4141	342	393	613	369	224	660	78832	20909	0.164	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000022.spe	82.69	7.28	1	0.010270	-0.010164	0.009073	0.081458	70816	1.90	102	1653	0	164	4702	1188	4864	94259	2726	257	835	885	47987	0	617	140	229	130	0	963	1176	9776	208	2961	462	106	137	307	1763	4239	216	240	474	617	236	1345	80307	24849	0.166	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000023.spe	84.69	7.27	1	0.010270	-0.010164	0.009073	0.081458	67229	1.98	67	1744	0	123	4271	1167	4222	91983	1067	111	754	547	32810	0	592	78	47	207	0	607	1100	8991	89	1895	361	98	88	294	1566	4688	234	283	325	483	144	551	80216	23772	0.165	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000024.spe	86.69	7.28	1	0.010270	-0.010164	0.009073	0.081458	67129	1.75	27	1137	0	85	4114	1165	4204	94211	2747	157	983	946	49694	0	562	304	375	0	0	1120	1180	9775	20	1621	473	0	193	242	1527	4098	178	566	109	674	205	1076	74971	25631	0.161	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000025.spe	88.69	7.29	1	0.010270	-0.010164	0.009073	0.081458	72378	1.63	108	696	0	198	5040	1188	4864	110872	2498	133	1419	855	64776	0	597	178	275	183	0	1186	1051	11219	197	2064	625	88	92	279	1333	3800	0	175	538	780	201	717	77146	22527	0.161	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000026.spe	90.69	7.30	1	0.010270	-0.010164	0.009073	0.081458	69934	1.90	97	1509	0	143	4306	1167	4691	102917	2294	160	1007	909	48825	0	698	158	301	131	0	1050	1032	9513	221	2385	479	37	105	184	1470	4109	205	239	189	705	190	960	77213	21987	0.163	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_2\JC36_74_2\XRF data\L000027.spe	92.69	7.29	1	0.010270	-0.010164	0.009073	0.081458	67609	1.91	68	1778	0	118	4137	1243	4322	94083	1897	62	787	812	42275	0	622	68	170	280	0	670	1075	8682	0	3981	334	62	143	244	1430	4180	160	403	461	556	125	1087	77115	21503	0.164	
