,Si,clusters,filename
34,1373,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000034.spe
35,1191,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000035.spe
36,1160,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000036.spe
37,1291,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000037.spe
38,1298,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000038.spe
39,1335,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000039.spe
40,1344,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000040.spe
41,1277,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000041.spe
42,1315,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000042.spe
43,1292,1,Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_106_2\JC36_106_2\XRF data\L000043.spe
