Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP1\XRF data     10/02/2022  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Br	Rb	Sr	Y	Zr	Sb	Ba	Ce	Sm	Ta	W	Pb	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP1\XRF data\L000000.spe	100.00	7.73	1	0.010270	-0.010164	0.009073	0.081458	82836	1.75	105	1992	0	193	4206	1299	6512	131891	2685	171	893	985	65373	0	789	151	229	67	0	993	1292	10485	277	1908	589	86	107	327	1881	4334	112	275	380	732	140	875	89876	28096	0.172	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP1\XRF data\L000001.spe	102.00	7.73	1	0.010270	-0.010164	0.009073	0.081458	76034	1.93	112	1548	0	125	3577	1190	6290	115542	2499	114	881	778	53691	0	668	126	244	197	0	964	1460	9720	218	1474	502	191	80	263	1427	4562	185	231	408	581	220	947	83550	25188	0.169	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP1\XRF data\L000002.spe	104.00	7.74	1	0.010270	-0.010164	0.009073	0.081458	77884	1.83	53	1233	0	146	4418	1202	5310	107937	2653	167	860	1017	55097	0	820	164	319	65	0	1183	1238	10221	157	1827	569	94	157	242	1651	4186	127	218	396	716	209	1185	88307	26355	0.173	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP1\XRF data\L000003.spe	106.00	7.76	1	0.010270	-0.010164	0.009073	0.081458	82811	1.80	76	1322	0	189	4743	1332	6036	116824	2773	149	1049	842	63387	68	827	260	400	368	0	1417	1410	11307	306	2532	636	142	148	253	1605	4831	146	502	411	511	262	489	90570	26183	0.175	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP1\XRF data\L000004.spe	108.00	7.73	1	0.010270	-0.010164	0.009073	0.081458	78624	1.89	130	1271	0	125	4197	1047	5443	106916	3150	155	1114	922	62408	0	710	46	147	161	0	1367	1397	10705	148	1836	517	80	101	230	1740	4302	175	277	219	696	162	743	85288	25125	0.172	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP1\XRF data\L000005.spe	110.00	7.74	1	0.010270	-0.010164	0.009073	0.081458	82522	1.68	126	1065	0	146	4833	1039	6042	111678	3699	142	952	1122	72880	0	818	308	563	178	0	1399	1336	10912	37	1680	504	0	190	299	1672	4217	256	192	133	798	300	483	88551	25312	0.174	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP1\XRF data\L000006.spe	112.00	7.77	1	0.010270	-0.010164	0.009073	0.081458	84686	1.85	112	1036	0	176	5280	1223	6321	118861	3337	208	936	1120	75565	0	825	285	471	143	0	1482	1647	11086	84	2130	597	75	212	269	1707	4754	283	342	392	687	324	646	89892	24859	0.174	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP1\XRF data\L000007.spe	114.00	7.78	1	0.010270	-0.010164	0.009073	0.081458	83903	1.92	104	1014	0	192	5114	1294	6086	120201	3517	140	923	965	70693	0	701	217	328	139	0	1182	1514	10993	174	1945	606	51	205	344	1649	4746	415	275	383	787	267	609	89017	27481	0.174	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP1\XRF data\L000008.spe	116.00	7.78	1	0.010270	-0.010164	0.009073	0.081458	81062	1.78	68	863	0	172	5787	1276	5292	100479	2791	175	1080	895	56957	0	682	288	331	0	0	1022	1333	10228	24	2142	456	29	230	276	1831	4889	239	41	295	795	297	1196	90392	26046	0.177	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_3\JC36_74_3REP1\XRF data\L000009.spe	118.00	7.76	1	0.010270	-0.010164	0.009073	0.081458	81402	1.77	95	1177	0	126	5332	1379	5353	110609	2329	274	962	963	61269	0	652	210	304	385	0	1295	1522	10229	195	1527	498	7	134	249	1636	4699	94	255	67	610	297	364	90897	27742	0.175	
