Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP1\XRF data     10/02/2022  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Br	Rb	Sr	Y	Zr	Sb	Ba	Ce	Sm	Ta	W	Pb	Fe a*2	Fe a+b	S1	S2	S3	Mo inc	Mo coh	Dt	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP1\XRF data\L000000.spe	100.00	7.94	1	0.010270	-0.010164	0.009073	0.081458	81077	1.85	85	2009	0	113	6809	1120	6714	157417	3381	161	854	925	66610	73	736	191	424	92	0	1313	1164	12752	339	2063	635	82	84	244	1414	3945	200	256	438	671	297	452	80533	25061	0.168	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP1\XRF data\L000001.spe	102.00	7.96	1	0.010270	-0.010164	0.009073	0.081458	78888	1.94	85	3042	0	143	7121	1175	5526	142452	2761	272	769	820	48233	36	652	70	588	56	0	744	1158	10516	158	3184	638	127	82	223	1634	4608	81	232	51	613	363	330	87526	25410	0.170	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP1\XRF data\L000002.spe	104.00	7.99	1	0.010270	-0.010164	0.009073	0.081458	74767	1.91	117	3323	0	85	2683	1401	5515	131575	1286	131	620	527	36198	0	770	159	226	246	0	549	1206	9674	80	3632	667	97	147	336	1548	4531	10	222	103	590	97	631	83660	24167	0.170	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP1\XRF data\L000003.spe	106.00	7.97	1	0.010270	-0.010164	0.009073	0.081458	77006	1.98	112	4102	0	51	2271	1151	5415	131950	1352	167	855	772	38263	47	801	118	218	241	0	788	1197	9278	120	815	612	92	160	375	1501	4628	137	352	522	524	207	69	88837	26400	0.172	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP1\XRF data\L000004.spe	108.00	7.98	1	0.010270	-0.010164	0.009073	0.081458	75708	1.79	98	3819	0	61	2437	1259	5862	119880	1576	142	910	696	36130	0	800	70	230	184	0	575	1292	8489	0	1158	524	126	91	264	1628	4858	57	306	152	504	173	546	88876	28937	0.173	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP1\XRF data\L000005.spe	110.00	7.98	1	0.010270	-0.010164	0.009073	0.081458	78925	2.04	80	3878	0	83	2517	1199	5555	142318	2234	145	976	619	41329	0	732	57	304	203	0	643	1241	9582	0	909	693	15	152	271	1417	4775	249	155	312	723	387	721	86837	25383	0.173	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP1\XRF data\L000006.spe	112.00	7.98	1	0.010270	-0.010164	0.009073	0.081458	79784	1.99	80	3785	0	119	2471	1233	5930	170885	1204	170	852	599	38494	0	856	57	203	191	0	642	1147	12786	0	852	650	76	45	247	1392	4799	176	340	305	621	193	410	86195	27222	0.170	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP1\XRF data\L000007.spe	114.00	7.98	1	0.010270	-0.010164	0.009073	0.081458	78950	1.99	105	3120	0	61	2459	1288	5322	178648	1602	115	694	665	40429	0	708	56	167	153	0	773	1132	12220	0	1930	806	128	72	242	1412	4128	47	22	0	685	207	401	82346	23250	0.167	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP1\XRF data\L000008.spe	116.00	7.98	1	0.010270	-0.010164	0.009073	0.081458	79835	2.07	118	3432	0	61	2578	1264	6044	158512	2222	181	665	632	42322	21	668	183	127	65	0	889	1102	11315	10	1661	593	55	131	312	1579	4602	133	321	13	385	291	233	86535	27964	0.171	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP1\XRF data\L000009.spe	118.00	7.99	1	0.010270	-0.010164	0.009073	0.081458	81604	2.10	142	3808	0	65	2423	1278	6098	176768	1657	88	1154	918	42419	329	822	84	241	43	0	772	1043	11563	66	1528	820	48	135	351	1557	4555	214	335	329	288	272	60	87808	29112	0.171	
Y:\IMPROVED DATABASE\BOSCORF PROJECTS DATA\Soutter_E_(2022)_JC36\ITRAX\JC36\JC36_74_4\JC36_74_4REP1\XRF data\L000010.spe	120.00	7.98	1	0.010270	-0.010164	0.009073	0.081458	77802	2.05	70	4054	0	100	2275	1383	5112	161739	1179	182	1027	705	31483	0	819	190	212	314	0	783	1103	11417	106	796	627	33	189	223	1526	5014	278	308	427	647	183	579	84886	24136	0.170	
